PIRAPÃ³  código:431455

Descrição,Valor,Unidade
Total de endereços urbanos,407,endereços
Total de endereços rurais,886,endereços
Total de estabelecimentos de ensino,7,estabelecimentos
Total de estabelecimentos de saúde,1,estabelecimentos
Domicílios particulares permanentes,962,domicílios
Domicílios particulares permanentes - abastecimento de água - Rede geral,929,domicílios
Domicílios particulares permanentes - energia elétrica - Tinham,946,domicílios
População residente ,2757,pessoas
População residente - Homens,1398,pessoas
População residente - Mulheres,1359,pessoas
População residente alfabetizada,2271,pessoas
População residente - cor ou raça - Branca,1863,pessoas
População residente - cor ou raça - Preta,44,pessoas
População residente - cor ou raça - Parda,840,pessoas
População residente - classes de rendimento nominal mensal - Até 1/4 de salário mínimo ,274,pessoas
População residente - classes de rendimento nominal mensal - Mais de 30 salários mínimos ,1,pessoas
Área da unidade territorial,291.744,Km²
Eleitorado,2257,Eleitores
PIB per capita a preços correntes,10162.76,Reais
Matrícula - Ensino fundamental - 2009,360,Matrículas
Matrícula - Ensino médio - 2009,153,Matrículas
Docentes - Ensino fundamental - 2009,43,Docentes
Docentes - Ensino médio - 2009,16,Docentes
Estabelecimentos de Saúde SUS,3,estabelecimentos
Nascidos vivos -  registrados - lugar do registro,15,pessoas
Receitas orçamentárias realizadas - Correntes,791915544,Reais
Despesas orçamentárias empenhadas - Correntes,636832202,Reais
Valor do Fundo de Participação dos Municípios  - FPM,398917557,Reais
Número de unidades locais,59,Unidades
Pessoal ocupado total,265,Pessoas
Fonte:IBGE - Instituto Brasileiro de Geografia e Estatística

