PIRATINI  código:431460

Descrição,Valor,Unidade
Total de endereços urbanos,5746,endereços
Total de endereços rurais,4655,endereços
Total de estabelecimentos de ensino,30,estabelecimentos
Total de estabelecimentos de saúde,13,estabelecimentos
Domicílios particulares permanentes,7236,domicílios
Domicílios particulares permanentes - abastecimento de água - Rede geral,4264,domicílios
Domicílios particulares permanentes - energia elétrica - Tinham,7180,domicílios
População residente ,19841,pessoas
População residente - Homens,10108,pessoas
População residente - Mulheres,9733,pessoas
População residente alfabetizada,16706,pessoas
População residente - cor ou raça - Branca,15761,pessoas
População residente - cor ou raça - Preta,1810,pessoas
População residente - cor ou raça - Parda,1970,pessoas
População residente - classes de rendimento nominal mensal - Até 1/4 de salário mínimo ,942,pessoas
População residente - classes de rendimento nominal mensal - Mais de 30 salários mínimos ,9,pessoas
Área da unidade territorial,3539.704,Km²
Eleitorado,15826,Eleitores
PIB per capita a preços correntes,8728.84,Reais
Matrícula - Ensino fundamental - 2009,2879,Matrículas
Matrícula - Ensino médio - 2009,725,Matrículas
Docentes - Ensino fundamental - 2009,195,Docentes
Docentes - Ensino médio - 2009,43,Docentes
Estabelecimentos de Saúde SUS,9,estabelecimentos
Nascidos vivos -  registrados - lugar do registro,179,pessoas
Receitas orçamentárias realizadas - Correntes,2868720469,Reais
Despesas orçamentárias empenhadas - Correntes,2282430600,Reais
Valor do Fundo de Participação dos Municípios  - FPM,791260281,Reais
Número de unidades locais,622,Unidades
Pessoal ocupado total,2811,Pessoas
Fonte:IBGE - Instituto Brasileiro de Geografia e Estatística

