PLANALTO  código:431470

Descrição,Valor,Unidade
Total de endereços urbanos,2945,endereços
Total de endereços rurais,1778,endereços
Total de estabelecimentos de ensino,14,estabelecimentos
Total de estabelecimentos de saúde,7,estabelecimentos
Domicílios particulares permanentes,3453,domicílios
Domicílios particulares permanentes - abastecimento de água - Rede geral,2328,domicílios
Domicílios particulares permanentes - energia elétrica - Tinham,3415,domicílios
População residente ,10524,pessoas
População residente - Homens,5209,pessoas
População residente - Mulheres,5315,pessoas
População residente alfabetizada,8850,pessoas
População residente - cor ou raça - Branca,8190,pessoas
População residente - cor ou raça - Preta,333,pessoas
População residente - cor ou raça - Parda,942,pessoas
População residente - classes de rendimento nominal mensal - Até 1/4 de salário mínimo ,568,pessoas
População residente - classes de rendimento nominal mensal - Mais de 30 salários mínimos ,2,pessoas
Área da unidade territorial,230.421,Km²
Eleitorado,8703,Eleitores
PIB per capita a preços correntes,8062.46,Reais
Matrícula - Ensino fundamental - 2009,1695,Matrículas
Matrícula - Ensino médio - 2009,496,Matrículas
Docentes - Ensino fundamental - 2009,112,Docentes
Docentes - Ensino médio - 2009,33,Docentes
Estabelecimentos de Saúde SUS,7,estabelecimentos
Nascidos vivos -  registrados - lugar do registro,154,pessoas
Receitas orçamentárias realizadas - Correntes,1285723797,Reais
Despesas orçamentárias empenhadas - Correntes,1088228837,Reais
Valor do Fundo de Participação dos Municípios  - FPM,531918269,Reais
Número de unidades locais,330,Unidades
Pessoal ocupado total,1463,Pessoas
Fonte:IBGE - Instituto Brasileiro de Geografia e Estatística

