PONTE PRETA  código:431478

Descrição,Valor,Unidade
Total de endereços urbanos,268,endereços
Total de endereços rurais,432,endereços
Total de estabelecimentos de ensino,2,estabelecimentos
Total de estabelecimentos de saúde,3,estabelecimentos
Domicílios particulares permanentes,546,domicílios
Domicílios particulares permanentes - abastecimento de água - Rede geral,464,domicílios
Domicílios particulares permanentes - energia elétrica - Tinham,546,domicílios
População residente ,1750,pessoas
População residente - Homens,924,pessoas
População residente - Mulheres,826,pessoas
População residente alfabetizada,1570,pessoas
População residente - cor ou raça - Branca,1653,pessoas
População residente - cor ou raça - Preta,16,pessoas
População residente - cor ou raça - Parda,79,pessoas
População residente - classes de rendimento nominal mensal - Até 1/4 de salário mínimo ,26,pessoas
População residente - classes de rendimento nominal mensal - Mais de 30 salários mínimos ,-,pessoas
Área da unidade territorial,99.873,Km²
Eleitorado,1550,Eleitores
PIB per capita a preços correntes,13974.92,Reais
Matrícula - Ensino fundamental - 2009,201,Matrículas
Matrícula - Ensino médio - 2009,52,Matrículas
Docentes - Ensino fundamental - 2009,18,Docentes
Docentes - Ensino médio - 2009,9,Docentes
Estabelecimentos de Saúde SUS,2,estabelecimentos
Nascidos vivos -  registrados - lugar do registro,-,pessoas
Receitas orçamentárias realizadas - Correntes,657947700,Reais
Despesas orçamentárias empenhadas - Correntes,458566700,Reais
Valor do Fundo de Participação dos Municípios  - FPM,398917600,Reais
Número de unidades locais,65,Unidades
Pessoal ocupado total,211,Pessoas
Fonte:IBGE - Instituto Brasileiro de Geografia e Estatística

