PORTO ALEGRE  código:431490

Descrição,Valor,Unidade
Total de endereços urbanos,633116,endereços
Total de endereços rurais,0,endereços
Total de estabelecimentos de ensino,864,estabelecimentos
Total de estabelecimentos de saúde,1259,estabelecimentos
Domicílios particulares permanentes,508456,domicílios
Domicílios particulares permanentes - abastecimento de água - Rede geral,505149,domicílios
Domicílios particulares permanentes - energia elétrica - Tinham,507939,domicílios
População residente ,1409351,pessoas
População residente - Homens,653787,pessoas
População residente - Mulheres,755564,pessoas
População residente alfabetizada,1277572,pessoas
População residente - cor ou raça - Branca,1116659,pessoas
População residente - cor ou raça - Preta,143890,pessoas
População residente - cor ou raça - Parda,141411,pessoas
População residente - classes de rendimento nominal mensal - Até 1/4 de salário mínimo ,6466,pessoas
População residente - classes de rendimento nominal mensal - Mais de 30 salários mínimos ,7766,pessoas
Área da unidade territorial,496.684,Km²
Eleitorado,1019126,Eleitores
PIB per capita a preços correntes,25712.62,Reais
Matrícula - Ensino fundamental - 2009,190005,Matrículas
Matrícula - Ensino médio - 2009,51319,Matrículas
Docentes - Ensino fundamental - 2009,8777,Docentes
Docentes - Ensino médio - 2009,3281,Docentes
Estabelecimentos de Saúde SUS,201,estabelecimentos
Nascidos vivos -  registrados - lugar do registro,22320,pessoas
Receitas orçamentárias realizadas - Correntes,302011752886,Reais
Despesas orçamentárias empenhadas - Correntes,268475117966,Reais
Valor do Fundo de Participação dos Municípios  - FPM,12724800959,Reais
Número de unidades locais,91150,Unidades
Pessoal ocupado total,702159,Pessoas
Fonte:IBGE - Instituto Brasileiro de Geografia e Estatística

