PORTO MAUÃ¡  código:431505

Descrição,Valor,Unidade
Total de endereços urbanos,475,endereços
Total de endereços rurais,828,endereços
Total de estabelecimentos de ensino,3,estabelecimentos
Total de estabelecimentos de saúde,2,estabelecimentos
Domicílios particulares permanentes,833,domicílios
Domicílios particulares permanentes - abastecimento de água - Rede geral,807,domicílios
Domicílios particulares permanentes - energia elétrica - Tinham,832,domicílios
População residente ,2542,pessoas
População residente - Homens,1264,pessoas
População residente - Mulheres,1278,pessoas
População residente alfabetizada,2260,pessoas
População residente - cor ou raça - Branca,2196,pessoas
População residente - cor ou raça - Preta,15,pessoas
População residente - cor ou raça - Parda,278,pessoas
População residente - classes de rendimento nominal mensal - Até 1/4 de salário mínimo ,77,pessoas
População residente - classes de rendimento nominal mensal - Mais de 30 salários mínimos ,-,pessoas
Área da unidade territorial,105.561,Km²
Eleitorado,2107,Eleitores
PIB per capita a preços correntes,10648.91,Reais
Matrícula - Ensino fundamental - 2009,324,Matrículas
Matrícula - Ensino médio - 2009,93,Matrículas
Docentes - Ensino fundamental - 2009,19,Docentes
Docentes - Ensino médio - 2009,9,Docentes
Estabelecimentos de Saúde SUS,2,estabelecimentos
Nascidos vivos -  registrados - lugar do registro,-,pessoas
Receitas orçamentárias realizadas - Correntes,749414440,Reais
Despesas orçamentárias empenhadas - Correntes,504972944,Reais
Valor do Fundo de Participação dos Municípios  - FPM,398917557,Reais
Número de unidades locais,94,Unidades
Pessoal ocupado total,277,Pessoas
Fonte:IBGE - Instituto Brasileiro de Geografia e Estatística

