PORTÃ£O  código:431480

Descrição,Valor,Unidade
Total de endereços urbanos,10312,endereços
Total de endereços rurais,2381,endereços
Total de estabelecimentos de ensino,31,estabelecimentos
Total de estabelecimentos de saúde,14,estabelecimentos
Domicílios particulares permanentes,10127,domicílios
Domicílios particulares permanentes - abastecimento de água - Rede geral,2919,domicílios
Domicílios particulares permanentes - energia elétrica - Tinham,10095,domicílios
População residente ,30920,pessoas
População residente - Homens,15515,pessoas
População residente - Mulheres,15405,pessoas
População residente alfabetizada,27000,pessoas
População residente - cor ou raça - Branca,27132,pessoas
População residente - cor ou raça - Preta,1029,pessoas
População residente - cor ou raça - Parda,2591,pessoas
População residente - classes de rendimento nominal mensal - Até 1/4 de salário mínimo ,291,pessoas
População residente - classes de rendimento nominal mensal - Mais de 30 salários mínimos ,6,pessoas
Área da unidade territorial,159.895,Km²
Eleitorado,19358,Eleitores
PIB per capita a preços correntes,19333.62,Reais
Matrícula - Ensino fundamental - 2009,4692,Matrículas
Matrícula - Ensino médio - 2009,1051,Matrículas
Docentes - Ensino fundamental - 2009,226,Docentes
Docentes - Ensino médio - 2009,48,Docentes
Estabelecimentos de Saúde SUS,8,estabelecimentos
Nascidos vivos -  registrados - lugar do registro,352,pessoas
Receitas orçamentárias realizadas - Correntes,4159367682,Reais
Despesas orçamentárias empenhadas - Correntes,3115752843,Reais
Valor do Fundo de Participação dos Municípios  - FPM,932891672,Reais
Número de unidades locais,1093,Unidades
Pessoal ocupado total,8608,Pessoas
Fonte:IBGE - Instituto Brasileiro de Geografia e Estatística

