POUSO NOVO  código:431513

Descrição,Valor,Unidade
Total de endereços urbanos,339,endereços
Total de endereços rurais,469,endereços
Total de estabelecimentos de ensino,15,estabelecimentos
Total de estabelecimentos de saúde,2,estabelecimentos
Domicílios particulares permanentes,623,domicílios
Domicílios particulares permanentes - abastecimento de água - Rede geral,296,domicílios
Domicílios particulares permanentes - energia elétrica - Tinham,618,domicílios
População residente ,1875,pessoas
População residente - Homens,953,pessoas
População residente - Mulheres,922,pessoas
População residente alfabetizada,1622,pessoas
População residente - cor ou raça - Branca,1628,pessoas
População residente - cor ou raça - Preta,31,pessoas
População residente - cor ou raça - Parda,215,pessoas
População residente - classes de rendimento nominal mensal - Até 1/4 de salário mínimo ,45,pessoas
População residente - classes de rendimento nominal mensal - Mais de 30 salários mínimos ,7,pessoas
Área da unidade territorial,106.533,Km²
Eleitorado,1784,Eleitores
PIB per capita a preços correntes,15695.16,Reais
Matrícula - Ensino fundamental - 2009,292,Matrículas
Matrícula - Ensino médio - 2009,72,Matrículas
Docentes - Ensino fundamental - 2009,30,Docentes
Docentes - Ensino médio - 2009,10,Docentes
Estabelecimentos de Saúde SUS,1,estabelecimentos
Nascidos vivos -  registrados - lugar do registro,16,pessoas
Receitas orçamentárias realizadas - Correntes,776115523,Reais
Despesas orçamentárias empenhadas - Correntes,572745397,Reais
Valor do Fundo de Participação dos Municípios  - FPM,398917557,Reais
Número de unidades locais,49,Unidades
Pessoal ocupado total,263,Pessoas
Fonte:IBGE - Instituto Brasileiro de Geografia e Estatística

