POÃ§O DAS ANTAS  código:431475

Descrição,Valor,Unidade
Total de endereços urbanos,448,endereços
Total de endereços rurais,546,endereços
Total de estabelecimentos de ensino,6,estabelecimentos
Total de estabelecimentos de saúde,3,estabelecimentos
Domicílios particulares permanentes,690,domicílios
Domicílios particulares permanentes - abastecimento de água - Rede geral,657,domicílios
Domicílios particulares permanentes - energia elétrica - Tinham,690,domicílios
População residente ,2017,pessoas
População residente - Homens,1023,pessoas
População residente - Mulheres,994,pessoas
População residente alfabetizada,1852,pessoas
População residente - cor ou raça - Branca,1953,pessoas
População residente - cor ou raça - Preta,5,pessoas
População residente - cor ou raça - Parda,53,pessoas
População residente - classes de rendimento nominal mensal - Até 1/4 de salário mínimo ,13,pessoas
População residente - classes de rendimento nominal mensal - Mais de 30 salários mínimos ,1,pessoas
Área da unidade territorial,65.065,Km²
Eleitorado,1698,Eleitores
PIB per capita a preços correntes,12376.69,Reais
Matrícula - Ensino fundamental - 2009,249,Matrículas
Matrícula - Ensino médio - 2009,103,Matrículas
Docentes - Ensino fundamental - 2009,23,Docentes
Docentes - Ensino médio - 2009,10,Docentes
Estabelecimentos de Saúde SUS,1,estabelecimentos
Nascidos vivos -  registrados - lugar do registro,20,pessoas
Receitas orçamentárias realizadas - Correntes,716590242,Reais
Despesas orçamentárias empenhadas - Correntes,464826701,Reais
Valor do Fundo de Participação dos Municípios  - FPM,398917557,Reais
Número de unidades locais,106,Unidades
Pessoal ocupado total,421,Pessoas
Fonte:IBGE - Instituto Brasileiro de Geografia e Estatística

