PUTINGA  código:431520

Descrição,Valor,Unidade
Total de endereços urbanos,799,endereços
Total de endereços rurais,1046,endereços
Total de estabelecimentos de ensino,18,estabelecimentos
Total de estabelecimentos de saúde,9,estabelecimentos
Domicílios particulares permanentes,1328,domicílios
Domicílios particulares permanentes - abastecimento de água - Rede geral,837,domicílios
Domicílios particulares permanentes - energia elétrica - Tinham,1324,domicílios
População residente ,4141,pessoas
População residente - Homens,2097,pessoas
População residente - Mulheres,2044,pessoas
População residente alfabetizada,3608,pessoas
População residente - cor ou raça - Branca,3762,pessoas
População residente - cor ou raça - Preta,62,pessoas
População residente - cor ou raça - Parda,313,pessoas
População residente - classes de rendimento nominal mensal - Até 1/4 de salário mínimo ,94,pessoas
População residente - classes de rendimento nominal mensal - Mais de 30 salários mínimos ,5,pessoas
Área da unidade territorial,205.053,Km²
Eleitorado,3900,Eleitores
PIB per capita a preços correntes,14882.69,Reais
Matrícula - Ensino fundamental - 2009,523,Matrículas
Matrícula - Ensino médio - 2009,150,Matrículas
Docentes - Ensino fundamental - 2009,44,Docentes
Docentes - Ensino médio - 2009,13,Docentes
Estabelecimentos de Saúde SUS,3,estabelecimentos
Nascidos vivos -  registrados - lugar do registro,32,pessoas
Receitas orçamentárias realizadas - Correntes,1115436468,Reais
Despesas orçamentárias empenhadas - Correntes,953948665,Reais
Valor do Fundo de Participação dos Municípios  - FPM,398835585,Reais
Número de unidades locais,160,Unidades
Pessoal ocupado total,644,Pessoas
Fonte:IBGE - Instituto Brasileiro de Geografia e Estatística

