QUINZE DE NOVEMBRO  código:431535

Descrição,Valor,Unidade
Total de endereços urbanos,1223,endereços
Total de endereços rurais,815,endereços
Total de estabelecimentos de ensino,9,estabelecimentos
Total de estabelecimentos de saúde,9,estabelecimentos
Domicílios particulares permanentes,1269,domicílios
Domicílios particulares permanentes - abastecimento de água - Rede geral,1204,domicílios
Domicílios particulares permanentes - energia elétrica - Tinham,1268,domicílios
População residente ,3653,pessoas
População residente - Homens,1799,pessoas
População residente - Mulheres,1854,pessoas
População residente alfabetizada,3279,pessoas
População residente - cor ou raça - Branca,3377,pessoas
População residente - cor ou raça - Preta,37,pessoas
População residente - cor ou raça - Parda,235,pessoas
População residente - classes de rendimento nominal mensal - Até 1/4 de salário mínimo ,55,pessoas
População residente - classes de rendimento nominal mensal - Mais de 30 salários mínimos ,13,pessoas
Área da unidade territorial,223.639,Km²
Eleitorado,3042,Eleitores
PIB per capita a preços correntes,24503.00,Reais
Matrícula - Ensino fundamental - 2009,401,Matrículas
Matrícula - Ensino médio - 2009,146,Matrículas
Docentes - Ensino fundamental - 2009,38,Docentes
Docentes - Ensino médio - 2009,16,Docentes
Estabelecimentos de Saúde SUS,4,estabelecimentos
Nascidos vivos -  registrados - lugar do registro,44,pessoas
Receitas orçamentárias realizadas - Correntes,997275696,Reais
Despesas orçamentárias empenhadas - Correntes,793701143,Reais
Valor do Fundo de Participação dos Municípios  - FPM,382174658,Reais
Número de unidades locais,229,Unidades
Pessoal ocupado total,887,Pessoas
Fonte:IBGE - Instituto Brasileiro de Geografia e Estatística

