RELVADO  código:431545

Descrição,Valor,Unidade
Total de endereços urbanos,413,endereços
Total de endereços rurais,625,endereços
Total de estabelecimentos de ensino,7,estabelecimentos
Total de estabelecimentos de saúde,1,estabelecimentos
Domicílios particulares permanentes,721,domicílios
Domicílios particulares permanentes - abastecimento de água - Rede geral,504,domicílios
Domicílios particulares permanentes - energia elétrica - Tinham,721,domicílios
População residente ,2155,pessoas
População residente - Homens,1071,pessoas
População residente - Mulheres,1084,pessoas
População residente alfabetizada,1963,pessoas
População residente - cor ou raça - Branca,2052,pessoas
População residente - cor ou raça - Preta,16,pessoas
População residente - cor ou raça - Parda,75,pessoas
População residente - classes de rendimento nominal mensal - Até 1/4 de salário mínimo ,36,pessoas
População residente - classes de rendimento nominal mensal - Mais de 30 salários mínimos ,2,pessoas
Área da unidade territorial,123.437,Km²
Eleitorado,2016,Eleitores
PIB per capita a preços correntes,10983.12,Reais
Matrícula - Ensino fundamental - 2009,229,Matrículas
Matrícula - Ensino médio - 2009,86,Matrículas
Docentes - Ensino fundamental - 2009,23,Docentes
Docentes - Ensino médio - 2009,7,Docentes
Estabelecimentos de Saúde SUS,1,estabelecimentos
Nascidos vivos -  registrados - lugar do registro,12,pessoas
Receitas orçamentárias realizadas - Correntes,758507990,Reais
Despesas orçamentárias empenhadas - Correntes,578765705,Reais
Valor do Fundo de Participação dos Municípios  - FPM,413889486,Reais
Número de unidades locais,102,Unidades
Pessoal ocupado total,275,Pessoas
Fonte:IBGE - Instituto Brasileiro de Geografia e Estatística

