RESTINGA SECA  código:431550

Descrição,Valor,Unidade
Total de endereços urbanos,4341,endereços
Total de endereços rurais,3241,endereços
Total de estabelecimentos de ensino,23,estabelecimentos
Total de estabelecimentos de saúde,14,estabelecimentos
Domicílios particulares permanentes,5353,domicílios
Domicílios particulares permanentes - abastecimento de água - Rede geral,4115,domicílios
Domicílios particulares permanentes - energia elétrica - Tinham,5334,domicílios
População residente ,15849,pessoas
População residente - Homens,7815,pessoas
População residente - Mulheres,8034,pessoas
População residente alfabetizada,13905,pessoas
População residente - cor ou raça - Branca,12776,pessoas
População residente - cor ou raça - Preta,1590,pessoas
População residente - cor ou raça - Parda,1442,pessoas
População residente - classes de rendimento nominal mensal - Até 1/4 de salário mínimo ,443,pessoas
População residente - classes de rendimento nominal mensal - Mais de 30 salários mínimos ,12,pessoas
Área da unidade territorial,956.053,Km²
Eleitorado,13096,Eleitores
PIB per capita a preços correntes,13874.70,Reais
Matrícula - Ensino fundamental - 2009,2322,Matrículas
Matrícula - Ensino médio - 2009,431,Matrículas
Docentes - Ensino fundamental - 2009,147,Docentes
Docentes - Ensino médio - 2009,28,Docentes
Estabelecimentos de Saúde SUS,12,estabelecimentos
Nascidos vivos -  registrados - lugar do registro,168,pessoas
Receitas orçamentárias realizadas - Correntes,2214200139,Reais
Despesas orçamentárias empenhadas - Correntes,1871931906,Reais
Valor do Fundo de Participação dos Municípios  - FPM,664862595,Reais
Número de unidades locais,502,Unidades
Pessoal ocupado total,2275,Pessoas
Fonte:IBGE - Instituto Brasileiro de Geografia e Estatística

