RIO GRANDE  código:431560

Descrição,Valor,Unidade
Total de endereços urbanos,86527,endereços
Total de endereços rurais,3829,endereços
Total de estabelecimentos de ensino,148,estabelecimentos
Total de estabelecimentos de saúde,297,estabelecimentos
Domicílios particulares permanentes,66606,domicílios
Domicílios particulares permanentes - abastecimento de água - Rede geral,62335,domicílios
Domicílios particulares permanentes - energia elétrica - Tinham,66352,domicílios
População residente ,197228,pessoas
População residente - Homens,94983,pessoas
População residente - Mulheres,102245,pessoas
População residente alfabetizada,173127,pessoas
População residente - cor ou raça - Branca,157870,pessoas
População residente - cor ou raça - Preta,16834,pessoas
População residente - cor ou raça - Parda,21406,pessoas
População residente - classes de rendimento nominal mensal - Até 1/4 de salário mínimo ,2272,pessoas
População residente - classes de rendimento nominal mensal - Mais de 30 salários mínimos ,169,pessoas
Área da unidade territorial,2709.534,Km²
Eleitorado,137187,Eleitores
PIB per capita a preços correntes,27624.02,Reais
Matrícula - Ensino fundamental - 2009,28869,Matrículas
Matrícula - Ensino médio - 2009,7234,Matrículas
Docentes - Ensino fundamental - 2009,1495,Docentes
Docentes - Ensino médio - 2009,478,Docentes
Estabelecimentos de Saúde SUS,45,estabelecimentos
Nascidos vivos -  registrados - lugar do registro,2588,pessoas
Receitas orçamentárias realizadas - Correntes,24361042436,Reais
Despesas orçamentárias empenhadas - Correntes,20713642903,Reais
Valor do Fundo de Participação dos Municípios  - FPM,3614220766,Reais
Número de unidades locais,5991,Unidades
Pessoal ocupado total,41608,Pessoas
Fonte:IBGE - Instituto Brasileiro de Geografia e Estatística

