RIO PARDO  código:431570

Descrição,Valor,Unidade
Total de endereços urbanos,11621,endereços
Total de endereços rurais,5642,endereços
Total de estabelecimentos de ensino,55,estabelecimentos
Total de estabelecimentos de saúde,24,estabelecimentos
Domicílios particulares permanentes,12745,domicílios
Domicílios particulares permanentes - abastecimento de água - Rede geral,9183,domicílios
Domicílios particulares permanentes - energia elétrica - Tinham,12676,domicílios
População residente ,37591,pessoas
População residente - Homens,18318,pessoas
População residente - Mulheres,19273,pessoas
População residente alfabetizada,32234,pessoas
População residente - cor ou raça - Branca,31776,pessoas
População residente - cor ou raça - Preta,2637,pessoas
População residente - cor ou raça - Parda,3079,pessoas
População residente - classes de rendimento nominal mensal - Até 1/4 de salário mínimo ,767,pessoas
População residente - classes de rendimento nominal mensal - Mais de 30 salários mínimos ,14,pessoas
Área da unidade territorial,2050.597,Km²
Eleitorado,29235,Eleitores
PIB per capita a preços correntes,11077.38,Reais
Matrícula - Ensino fundamental - 2009,5500,Matrículas
Matrícula - Ensino médio - 2009,1370,Matrículas
Docentes - Ensino fundamental - 2009,304,Docentes
Docentes - Ensino médio - 2009,107,Docentes
Estabelecimentos de Saúde SUS,14,estabelecimentos
Nascidos vivos -  registrados - lugar do registro,337,pessoas
Receitas orçamentárias realizadas - Correntes,3709814892,Reais
Despesas orçamentárias empenhadas - Correntes,3199248000,Reais
Valor do Fundo de Participação dos Municípios  - FPM,1196816536,Reais
Número de unidades locais,1047,Unidades
Pessoal ocupado total,4645,Pessoas
Fonte:IBGE - Instituto Brasileiro de Geografia e Estatística

