RIO DOS ÃNDIOS  código:431555

Descrição,Valor,Unidade
Total de endereços urbanos,350,endereços
Total de endereços rurais,1104,endereços
Total de estabelecimentos de ensino,10,estabelecimentos
Total de estabelecimentos de saúde,1,estabelecimentos
Domicílios particulares permanentes,1170,domicílios
Domicílios particulares permanentes - abastecimento de água - Rede geral,452,domicílios
Domicílios particulares permanentes - energia elétrica - Tinham,1156,domicílios
População residente ,3616,pessoas
População residente - Homens,1860,pessoas
População residente - Mulheres,1756,pessoas
População residente alfabetizada,2949,pessoas
População residente - cor ou raça - Branca,2720,pessoas
População residente - cor ou raça - Preta,114,pessoas
População residente - cor ou raça - Parda,597,pessoas
População residente - classes de rendimento nominal mensal - Até 1/4 de salário mínimo ,227,pessoas
População residente - classes de rendimento nominal mensal - Mais de 30 salários mínimos ,1,pessoas
Área da unidade territorial,236.966,Km²
Eleitorado,3440,Eleitores
PIB per capita a preços correntes,10649.02,Reais
Matrícula - Ensino fundamental - 2009,583,Matrículas
Matrícula - Ensino médio - 2009,167,Matrículas
Docentes - Ensino fundamental - 2009,89,Docentes
Docentes - Ensino médio - 2009,14,Docentes
Estabelecimentos de Saúde SUS,1,estabelecimentos
Nascidos vivos -  registrados - lugar do registro,-,pessoas
Receitas orçamentárias realizadas - Correntes,846932553,Reais
Despesas orçamentárias empenhadas - Correntes,664156449,Reais
Valor do Fundo de Participação dos Municípios  - FPM,398917547,Reais
Número de unidades locais,35,Unidades
Pessoal ocupado total,267,Pessoas
Fonte:IBGE - Instituto Brasileiro de Geografia e Estatística

