RIOZINHO  código:431575

Descrição,Valor,Unidade
Total de endereços urbanos,1152,endereços
Total de endereços rurais,1050,endereços
Total de estabelecimentos de ensino,13,estabelecimentos
Total de estabelecimentos de saúde,4,estabelecimentos
Domicílios particulares permanentes,1448,domicílios
Domicílios particulares permanentes - abastecimento de água - Rede geral,802,domicílios
Domicílios particulares permanentes - energia elétrica - Tinham,1436,domicílios
População residente ,4330,pessoas
População residente - Homens,2203,pessoas
População residente - Mulheres,2127,pessoas
População residente alfabetizada,3734,pessoas
População residente - cor ou raça - Branca,3937,pessoas
População residente - cor ou raça - Preta,46,pessoas
População residente - cor ou raça - Parda,312,pessoas
População residente - classes de rendimento nominal mensal - Até 1/4 de salário mínimo ,56,pessoas
População residente - classes de rendimento nominal mensal - Mais de 30 salários mínimos ,1,pessoas
Área da unidade territorial,239.560,Km²
Eleitorado,3639,Eleitores
PIB per capita a preços correntes,11153.72,Reais
Matrícula - Ensino fundamental - 2009,779,Matrículas
Matrícula - Ensino médio - 2009,172,Matrículas
Docentes - Ensino fundamental - 2009,47,Docentes
Docentes - Ensino médio - 2009,14,Docentes
Estabelecimentos de Saúde SUS,3,estabelecimentos
Nascidos vivos -  registrados - lugar do registro,-,pessoas
Receitas orçamentárias realizadas - Correntes,1027473530,Reais
Despesas orçamentárias empenhadas - Correntes,734380634,Reais
Valor do Fundo de Participação dos Municípios  - FPM,399803762,Reais
Número de unidades locais,139,Unidades
Pessoal ocupado total,1602,Pessoas
Fonte:IBGE - Instituto Brasileiro de Geografia e Estatística

