ROCA SALES  código:431580

Descrição,Valor,Unidade
Total de endereços urbanos,2911,endereços
Total de endereços rurais,1776,endereços
Total de estabelecimentos de ensino,11,estabelecimentos
Total de estabelecimentos de saúde,11,estabelecimentos
Domicílios particulares permanentes,3556,domicílios
Domicílios particulares permanentes - abastecimento de água - Rede geral,2932,domicílios
Domicílios particulares permanentes - energia elétrica - Tinham,3544,domicílios
População residente ,10284,pessoas
População residente - Homens,5090,pessoas
População residente - Mulheres,5194,pessoas
População residente alfabetizada,9308,pessoas
População residente - cor ou raça - Branca,9185,pessoas
População residente - cor ou raça - Preta,293,pessoas
População residente - cor ou raça - Parda,777,pessoas
População residente - classes de rendimento nominal mensal - Até 1/4 de salário mínimo ,93,pessoas
População residente - classes de rendimento nominal mensal - Mais de 30 salários mínimos ,5,pessoas
Área da unidade territorial,208.630,Km²
Eleitorado,7803,Eleitores
PIB per capita a preços correntes,22016.84,Reais
Matrícula - Ensino fundamental - 2009,1100,Matrículas
Matrícula - Ensino médio - 2009,356,Matrículas
Docentes - Ensino fundamental - 2009,92,Docentes
Docentes - Ensino médio - 2009,32,Docentes
Estabelecimentos de Saúde SUS,4,estabelecimentos
Nascidos vivos -  registrados - lugar do registro,91,pessoas
Receitas orçamentárias realizadas - Correntes,1702189586,Reais
Despesas orçamentárias empenhadas - Correntes,1301486720,Reais
Valor do Fundo de Participação dos Municípios  - FPM,531890081,Reais
Número de unidades locais,470,Unidades
Pessoal ocupado total,3730,Pessoas
Fonte:IBGE - Instituto Brasileiro de Geografia e Estatística

