RODEIO BONITO  código:431590

Descrição,Valor,Unidade
Total de endereços urbanos,2020,endereços
Total de endereços rurais,531,endereços
Total de estabelecimentos de ensino,8,estabelecimentos
Total de estabelecimentos de saúde,12,estabelecimentos
Domicílios particulares permanentes,2011,domicílios
Domicílios particulares permanentes - abastecimento de água - Rede geral,1821,domicílios
Domicílios particulares permanentes - energia elétrica - Tinham,2005,domicílios
População residente ,5743,pessoas
População residente - Homens,2846,pessoas
População residente - Mulheres,2897,pessoas
População residente alfabetizada,4933,pessoas
População residente - cor ou raça - Branca,4924,pessoas
População residente - cor ou raça - Preta,57,pessoas
População residente - cor ou raça - Parda,731,pessoas
População residente - classes de rendimento nominal mensal - Até 1/4 de salário mínimo ,212,pessoas
População residente - classes de rendimento nominal mensal - Mais de 30 salários mínimos ,3,pessoas
Área da unidade territorial,83.199,Km²
Eleitorado,4638,Eleitores
PIB per capita a preços correntes,10493.45,Reais
Matrícula - Ensino fundamental - 2009,840,Matrículas
Matrícula - Ensino médio - 2009,210,Matrículas
Docentes - Ensino fundamental - 2009,61,Docentes
Docentes - Ensino médio - 2009,18,Docentes
Estabelecimentos de Saúde SUS,3,estabelecimentos
Nascidos vivos -  registrados - lugar do registro,177,pessoas
Receitas orçamentárias realizadas - Correntes,981629328,Reais
Despesas orçamentárias empenhadas - Correntes,786848793,Reais
Valor do Fundo de Participação dos Municípios  - FPM,398917557,Reais
Número de unidades locais,268,Unidades
Pessoal ocupado total,1053,Pessoas
Fonte:IBGE - Instituto Brasileiro de Geografia e Estatística

