ROLADOR  código:431595

Descrição,Valor,Unidade
Total de endereços urbanos,318,endereços
Total de endereços rurais,839,endereços
Total de estabelecimentos de ensino,12,estabelecimentos
Total de estabelecimentos de saúde,8,estabelecimentos
Domicílios particulares permanentes,871,domicílios
Domicílios particulares permanentes - abastecimento de água - Rede geral,796,domicílios
Domicílios particulares permanentes - energia elétrica - Tinham,868,domicílios
População residente ,2546,pessoas
População residente - Homens,1318,pessoas
População residente - Mulheres,1228,pessoas
População residente alfabetizada,2228,pessoas
População residente - cor ou raça - Branca,2128,pessoas
População residente - cor ou raça - Preta,37,pessoas
População residente - cor ou raça - Parda,367,pessoas
População residente - classes de rendimento nominal mensal - Até 1/4 de salário mínimo ,105,pessoas
População residente - classes de rendimento nominal mensal - Mais de 30 salários mínimos ,-,pessoas
Área da unidade territorial,295.006,Km²
Eleitorado,2530,Eleitores
PIB per capita a preços correntes,15243.48,Reais
Matrícula - Ensino fundamental - 2009,338,Matrículas
Matrícula - Ensino médio - 2009,120,Matrículas
Docentes - Ensino fundamental - 2009,41,Docentes
Docentes - Ensino médio - 2009,10,Docentes
Estabelecimentos de Saúde SUS,8,estabelecimentos
Nascidos vivos -  registrados - lugar do registro,-,pessoas
Receitas orçamentárias realizadas - Correntes,853764784,Reais
Despesas orçamentárias empenhadas - Correntes,552026222,Reais
Valor do Fundo de Participação dos Municípios  - FPM,399162368,Reais
Número de unidades locais,26,Unidades
Pessoal ocupado total,171,Pessoas
Fonte:IBGE - Instituto Brasileiro de Geografia e Estatística

