ROSÃ¡RIO DO SUL  código:431640

Descrição,Valor,Unidade
Total de endereços urbanos,14048,endereços
Total de endereços rurais,2746,endereços
Total de estabelecimentos de ensino,68,estabelecimentos
Total de estabelecimentos de saúde,36,estabelecimentos
Domicílios particulares permanentes,13158,domicílios
Domicílios particulares permanentes - abastecimento de água - Rede geral,10622,domicílios
Domicílios particulares permanentes - energia elétrica - Tinham,13062,domicílios
População residente ,39707,pessoas
População residente - Homens,19311,pessoas
População residente - Mulheres,20396,pessoas
População residente alfabetizada,34031,pessoas
População residente - cor ou raça - Branca,31736,pessoas
População residente - cor ou raça - Preta,2554,pessoas
População residente - cor ou raça - Parda,5262,pessoas
População residente - classes de rendimento nominal mensal - Até 1/4 de salário mínimo ,896,pessoas
População residente - classes de rendimento nominal mensal - Mais de 30 salários mínimos ,23,pessoas
Área da unidade territorial,4369.669,Km²
Eleitorado,31420,Eleitores
PIB per capita a preços correntes,11404.08,Reais
Matrícula - Ensino fundamental - 2009,6040,Matrículas
Matrícula - Ensino médio - 2009,1526,Matrículas
Docentes - Ensino fundamental - 2009,305,Docentes
Docentes - Ensino médio - 2009,81,Docentes
Estabelecimentos de Saúde SUS,17,estabelecimentos
Nascidos vivos -  registrados - lugar do registro,437,pessoas
Receitas orçamentárias realizadas - Correntes,3663906122,Reais
Despesas orçamentárias empenhadas - Correntes,3645758704,Reais
Valor do Fundo de Participação dos Municípios  - FPM,967527201,Reais
Número de unidades locais,1206,Unidades
Pessoal ocupado total,5469,Pessoas
Fonte:IBGE - Instituto Brasileiro de Geografia e Estatística

