SALDANHA MARINHO  código:431643

Descrição,Valor,Unidade
Total de endereços urbanos,961,endereços
Total de endereços rurais,419,endereços
Total de estabelecimentos de ensino,5,estabelecimentos
Total de estabelecimentos de saúde,9,estabelecimentos
Domicílios particulares permanentes,1039,domicílios
Domicílios particulares permanentes - abastecimento de água - Rede geral,868,domicílios
Domicílios particulares permanentes - energia elétrica - Tinham,1034,domicílios
População residente ,2869,pessoas
População residente - Homens,1390,pessoas
População residente - Mulheres,1479,pessoas
População residente alfabetizada,2595,pessoas
População residente - cor ou raça - Branca,2436,pessoas
População residente - cor ou raça - Preta,58,pessoas
População residente - cor ou raça - Parda,367,pessoas
População residente - classes de rendimento nominal mensal - Até 1/4 de salário mínimo ,65,pessoas
População residente - classes de rendimento nominal mensal - Mais de 30 salários mínimos ,4,pessoas
Área da unidade territorial,221.605,Km²
Eleitorado,2439,Eleitores
PIB per capita a preços correntes,22469.56,Reais
Matrícula - Ensino fundamental - 2009,350,Matrículas
Matrícula - Ensino médio - 2009,125,Matrículas
Docentes - Ensino fundamental - 2009,33,Docentes
Docentes - Ensino médio - 2009,12,Docentes
Estabelecimentos de Saúde SUS,2,estabelecimentos
Nascidos vivos -  registrados - lugar do registro,-,pessoas
Receitas orçamentárias realizadas - Correntes,978848627,Reais
Despesas orçamentárias empenhadas - Correntes,728403320,Reais
Valor do Fundo de Participação dos Municípios  - FPM,398917559,Reais
Número de unidades locais,116,Unidades
Pessoal ocupado total,713,Pessoas
Fonte:IBGE - Instituto Brasileiro de Geografia e Estatística

