SALVADOR DAS MISSÃµES  código:431647

Descrição,Valor,Unidade
Total de endereços urbanos,538,endereços
Total de endereços rurais,614,endereços
Total de estabelecimentos de ensino,4,estabelecimentos
Total de estabelecimentos de saúde,5,estabelecimentos
Domicílios particulares permanentes,892,domicílios
Domicílios particulares permanentes - abastecimento de água - Rede geral,874,domicílios
Domicílios particulares permanentes - energia elétrica - Tinham,890,domicílios
População residente ,2669,pessoas
População residente - Homens,1377,pessoas
População residente - Mulheres,1292,pessoas
População residente alfabetizada,2501,pessoas
População residente - cor ou raça - Branca,2544,pessoas
População residente - cor ou raça - Preta,15,pessoas
População residente - cor ou raça - Parda,105,pessoas
População residente - classes de rendimento nominal mensal - Até 1/4 de salário mínimo ,52,pessoas
População residente - classes de rendimento nominal mensal - Mais de 30 salários mínimos ,1,pessoas
Área da unidade territorial,94.042,Km²
Eleitorado,2269,Eleitores
PIB per capita a preços correntes,20826.91,Reais
Matrícula - Ensino fundamental - 2009,293,Matrículas
Matrícula - Ensino médio - 2009,87,Matrículas
Docentes - Ensino fundamental - 2009,31,Docentes
Docentes - Ensino médio - 2009,11,Docentes
Estabelecimentos de Saúde SUS,4,estabelecimentos
Nascidos vivos -  registrados - lugar do registro,-,pessoas
Receitas orçamentárias realizadas - Correntes,968530425,Reais
Despesas orçamentárias empenhadas - Correntes,677626564,Reais
Valor do Fundo de Participação dos Municípios  - FPM,398917557,Reais
Número de unidades locais,134,Unidades
Pessoal ocupado total,564,Pessoas
Fonte:IBGE - Instituto Brasileiro de Geografia e Estatística

