SANANDUVA  código:431660

Descrição,Valor,Unidade
Total de endereços urbanos,5179,endereços
Total de endereços rurais,2038,endereços
Total de estabelecimentos de ensino,29,estabelecimentos
Total de estabelecimentos de saúde,26,estabelecimentos
Domicílios particulares permanentes,5330,domicílios
Domicílios particulares permanentes - abastecimento de água - Rede geral,4567,domicílios
Domicílios particulares permanentes - energia elétrica - Tinham,5322,domicílios
População residente ,15373,pessoas
População residente - Homens,7604,pessoas
População residente - Mulheres,7769,pessoas
População residente alfabetizada,13677,pessoas
População residente - cor ou raça - Branca,13645,pessoas
População residente - cor ou raça - Preta,149,pessoas
População residente - cor ou raça - Parda,1546,pessoas
População residente - classes de rendimento nominal mensal - Até 1/4 de salário mínimo ,251,pessoas
População residente - classes de rendimento nominal mensal - Mais de 30 salários mínimos ,12,pessoas
Área da unidade territorial,504.551,Km²
Eleitorado,12128,Eleitores
PIB per capita a preços correntes,18905.23,Reais
Matrícula - Ensino fundamental - 2009,1808,Matrículas
Matrícula - Ensino médio - 2009,559,Matrículas
Docentes - Ensino fundamental - 2009,141,Docentes
Docentes - Ensino médio - 2009,33,Docentes
Estabelecimentos de Saúde SUS,10,estabelecimentos
Nascidos vivos -  registrados - lugar do registro,175,pessoas
Receitas orçamentárias realizadas - Correntes,2338213241,Reais
Despesas orçamentárias empenhadas - Correntes,1746541778,Reais
Valor do Fundo de Participação dos Municípios  - FPM,664862595,Reais
Número de unidades locais,704,Unidades
Pessoal ocupado total,3440,Pessoas
Fonte:IBGE - Instituto Brasileiro de Geografia e Estatística

