SANTA CRUZ DO SUL  código:431680

Descrição,Valor,Unidade
Total de endereços urbanos,45293,endereços
Total de endereços rurais,5314,endereços
Total de estabelecimentos de ensino,91,estabelecimentos
Total de estabelecimentos de saúde,91,estabelecimentos
Domicílios particulares permanentes,40540,domicílios
Domicílios particulares permanentes - abastecimento de água - Rede geral,37041,domicílios
Domicílios particulares permanentes - energia elétrica - Tinham,40442,domicílios
População residente ,118374,pessoas
População residente - Homens,56943,pessoas
População residente - Mulheres,61431,pessoas
População residente alfabetizada,106671,pessoas
População residente - cor ou raça - Branca,102228,pessoas
População residente - cor ou raça - Preta,6487,pessoas
População residente - cor ou raça - Parda,9284,pessoas
População residente - classes de rendimento nominal mensal - Até 1/4 de salário mínimo ,671,pessoas
População residente - classes de rendimento nominal mensal - Mais de 30 salários mínimos ,190,pessoas
Área da unidade territorial,733.412,Km²
Eleitorado,86289,Eleitores
PIB per capita a preços correntes,27128.70,Reais
Matrícula - Ensino fundamental - 2009,16157,Matrículas
Matrícula - Ensino médio - 2009,4045,Matrículas
Docentes - Ensino fundamental - 2009,940,Docentes
Docentes - Ensino médio - 2009,301,Docentes
Estabelecimentos de Saúde SUS,64,estabelecimentos
Nascidos vivos -  registrados - lugar do registro,1477,pessoas
Receitas orçamentárias realizadas - Correntes,18882441930,Reais
Despesas orçamentárias empenhadas - Correntes,15702297524,Reais
Valor do Fundo de Participação dos Municípios  - FPM,2260532840,Reais
Número de unidades locais,6479,Unidades
Pessoal ocupado total,42682,Pessoas
Fonte:IBGE - Instituto Brasileiro de Geografia e Estatística

