SANTA MARGARIDA DO SUL  código:431697

Descrição,Valor,Unidade
Total de endereços urbanos,311,endereços
Total de endereços rurais,1008,endereços
Total de estabelecimentos de ensino,8,estabelecimentos
Total de estabelecimentos de saúde,1,estabelecimentos
Domicílios particulares permanentes,761,domicílios
Domicílios particulares permanentes - abastecimento de água - Rede geral,286,domicílios
Domicílios particulares permanentes - energia elétrica - Tinham,744,domicílios
População residente ,2352,pessoas
População residente - Homens,1272,pessoas
População residente - Mulheres,1080,pessoas
População residente alfabetizada,1948,pessoas
População residente - cor ou raça - Branca,1970,pessoas
População residente - cor ou raça - Preta,103,pessoas
População residente - cor ou raça - Parda,258,pessoas
População residente - classes de rendimento nominal mensal - Até 1/4 de salário mínimo ,105,pessoas
População residente - classes de rendimento nominal mensal - Mais de 30 salários mínimos ,2,pessoas
Área da unidade territorial,955.303,Km²
Eleitorado,2257,Eleitores
PIB per capita a preços correntes,30861.72,Reais
Matrícula - Ensino fundamental - 2009,330,Matrículas
Matrícula - Ensino médio - 2009,27,Matrículas
Docentes - Ensino fundamental - 2009,36,Docentes
Docentes - Ensino médio - 2009,5,Docentes
Estabelecimentos de Saúde SUS,1,estabelecimentos
Nascidos vivos -  registrados - lugar do registro,-,pessoas
Receitas orçamentárias realizadas - Correntes,812419219,Reais
Despesas orçamentárias empenhadas - Correntes,742967641,Reais
Valor do Fundo de Participação dos Municípios  - FPM,398917557,Reais
Número de unidades locais,44,Unidades
Pessoal ocupado total,372,Pessoas
Fonte:IBGE - Instituto Brasileiro de Geografia e Estatística

