SANTA MARIA DO HERVAL  código:431695

Descrição,Valor,Unidade
Total de endereços urbanos,2085,endereços
Total de endereços rurais,771,endereços
Total de estabelecimentos de ensino,15,estabelecimentos
Total de estabelecimentos de saúde,10,estabelecimentos
Domicílios particulares permanentes,2033,domicílios
Domicílios particulares permanentes - abastecimento de água - Rede geral,987,domicílios
Domicílios particulares permanentes - energia elétrica - Tinham,2028,domicílios
População residente ,6053,pessoas
População residente - Homens,3101,pessoas
População residente - Mulheres,2952,pessoas
População residente alfabetizada,5637,pessoas
População residente - cor ou raça - Branca,5900,pessoas
População residente - cor ou raça - Preta,22,pessoas
População residente - cor ou raça - Parda,123,pessoas
População residente - classes de rendimento nominal mensal - Até 1/4 de salário mínimo ,43,pessoas
População residente - classes de rendimento nominal mensal - Mais de 30 salários mínimos ,2,pessoas
Área da unidade territorial,139.599,Km²
Eleitorado,4768,Eleitores
PIB per capita a preços correntes,15283.38,Reais
Matrícula - Ensino fundamental - 2009,735,Matrículas
Matrícula - Ensino médio - 2009,210,Matrículas
Docentes - Ensino fundamental - 2009,48,Docentes
Docentes - Ensino médio - 2009,17,Docentes
Estabelecimentos de Saúde SUS,4,estabelecimentos
Nascidos vivos -  registrados - lugar do registro,26,pessoas
Receitas orçamentárias realizadas - Correntes,1071095639,Reais
Despesas orçamentárias empenhadas - Correntes,854118582,Reais
Valor do Fundo de Participação dos Municípios  - FPM,398902767,Reais
Número de unidades locais,194,Unidades
Pessoal ocupado total,2255,Pessoas
Fonte:IBGE - Instituto Brasileiro de Geografia e Estatística

