SANTA MARIA  código:431690

Descrição,Valor,Unidade
Total de endereços urbanos,105819,endereços
Total de endereços rurais,6059,endereços
Total de estabelecimentos de ensino,273,estabelecimentos
Total de estabelecimentos de saúde,290,estabelecimentos
Domicílios particulares permanentes,87450,domicílios
Domicílios particulares permanentes - abastecimento de água - Rede geral,79967,domicílios
Domicílios particulares permanentes - energia elétrica - Tinham,87165,domicílios
População residente ,261031,pessoas
População residente - Homens,123634,pessoas
População residente - Mulheres,137397,pessoas
População residente alfabetizada,234825,pessoas
População residente - cor ou raça - Branca,218413,pessoas
População residente - cor ou raça - Preta,13521,pessoas
População residente - cor ou raça - Parda,28046,pessoas
População residente - classes de rendimento nominal mensal - Até 1/4 de salário mínimo ,2582,pessoas
População residente - classes de rendimento nominal mensal - Mais de 30 salários mínimos ,447,pessoas
Área da unidade territorial,1788.129,Km²
Eleitorado,184419,Eleitores
PIB per capita a preços correntes,12200.16,Reais
Matrícula - Ensino fundamental - 2009,35135,Matrículas
Matrícula - Ensino médio - 2009,10364,Matrículas
Docentes - Ensino fundamental - 2009,1902,Docentes
Docentes - Ensino médio - 2009,852,Docentes
Estabelecimentos de Saúde SUS,68,estabelecimentos
Nascidos vivos -  registrados - lugar do registro,3582,pessoas
Receitas orçamentárias realizadas - Correntes,27335093684,Reais
Despesas orçamentárias empenhadas - Correntes,22714045835,Reais
Valor do Fundo de Participação dos Municípios  - FPM,3614220766,Reais
Número de unidades locais,10210,Unidades
Pessoal ocupado total,65847,Pessoas
Fonte:IBGE - Instituto Brasileiro de Geografia e Estatística

