SANTA VITÃ³RIA DO PALMAR  código:431730

Descrição,Valor,Unidade
Total de endereços urbanos,15739,endereços
Total de endereços rurais,2767,endereços
Total de estabelecimentos de ensino,44,estabelecimentos
Total de estabelecimentos de saúde,55,estabelecimentos
Domicílios particulares permanentes,11230,domicílios
Domicílios particulares permanentes - abastecimento de água - Rede geral,9479,domicílios
Domicílios particulares permanentes - energia elétrica - Tinham,11144,domicílios
População residente ,30990,pessoas
População residente - Homens,15469,pessoas
População residente - Mulheres,15521,pessoas
População residente alfabetizada,26861,pessoas
População residente - cor ou raça - Branca,25296,pessoas
População residente - cor ou raça - Preta,2633,pessoas
População residente - cor ou raça - Parda,2874,pessoas
População residente - classes de rendimento nominal mensal - Até 1/4 de salário mínimo ,613,pessoas
População residente - classes de rendimento nominal mensal - Mais de 30 salários mínimos ,25,pessoas
Área da unidade territorial,5244.379,Km²
Eleitorado,23585,Eleitores
PIB per capita a preços correntes,12741.20,Reais
Matrícula - Ensino fundamental - 2009,4916,Matrículas
Matrícula - Ensino médio - 2009,1298,Matrículas
Docentes - Ensino fundamental - 2009,381,Docentes
Docentes - Ensino médio - 2009,105,Docentes
Estabelecimentos de Saúde SUS,18,estabelecimentos
Nascidos vivos -  registrados - lugar do registro,342,pessoas
Receitas orçamentárias realizadas - Correntes,4556910297,Reais
Despesas orçamentárias empenhadas - Correntes,3764459885,Reais
Valor do Fundo de Participação dos Municípios  - FPM,1085524991,Reais
Número de unidades locais,1067,Unidades
Pessoal ocupado total,4353,Pessoas
Fonte:IBGE - Instituto Brasileiro de Geografia e Estatística

