SANTANA DO LIVRAMENTO  código:431710

Descrição,Valor,Unidade
Total de endereços urbanos,31720,endereços
Total de endereços rurais,4373,endereços
Total de estabelecimentos de ensino,81,estabelecimentos
Total de estabelecimentos de saúde,112,estabelecimentos
Domicílios particulares permanentes,27381,domicílios
Domicílios particulares permanentes - abastecimento de água - Rede geral,24695,domicílios
Domicílios particulares permanentes - energia elétrica - Tinham,27134,domicílios
População residente ,82464,pessoas
População residente - Homens,39376,pessoas
População residente - Mulheres,43088,pessoas
População residente alfabetizada,72897,pessoas
População residente - cor ou raça - Branca,65371,pessoas
População residente - cor ou raça - Preta,6492,pessoas
População residente - cor ou raça - Parda,10347,pessoas
População residente - classes de rendimento nominal mensal - Até 1/4 de salário mínimo ,2130,pessoas
População residente - classes de rendimento nominal mensal - Mais de 30 salários mínimos ,72,pessoas
Área da unidade territorial,6950.388,Km²
Eleitorado,68388,Eleitores
PIB per capita a preços correntes,10484.31,Reais
Matrícula - Ensino fundamental - 2009,13616,Matrículas
Matrícula - Ensino médio - 2009,3380,Matrículas
Docentes - Ensino fundamental - 2009,752,Docentes
Docentes - Ensino médio - 2009,249,Docentes
Estabelecimentos de Saúde SUS,16,estabelecimentos
Nascidos vivos -  registrados - lugar do registro,1113,pessoas
Receitas orçamentárias realizadas - Correntes,9385270240,Reais
Despesas orçamentárias empenhadas - Correntes,8715470229,Reais
Valor do Fundo de Participação dos Municípios  - FPM,1861615281,Reais
Número de unidades locais,3130,Unidades
Pessoal ocupado total,13537,Pessoas
Fonte:IBGE - Instituto Brasileiro de Geografia e Estatística

