SANTIAGO  código:431740

Descrição,Valor,Unidade
Total de endereços urbanos,19404,endereços
Total de endereços rurais,2442,endereços
Total de estabelecimentos de ensino,37,estabelecimentos
Total de estabelecimentos de saúde,24,estabelecimentos
Domicílios particulares permanentes,17202,domicílios
Domicílios particulares permanentes - abastecimento de água - Rede geral,15995,domicílios
Domicílios particulares permanentes - energia elétrica - Tinham,17142,domicílios
População residente ,49071,pessoas
População residente - Homens,23571,pessoas
População residente - Mulheres,25500,pessoas
População residente alfabetizada,43752,pessoas
População residente - cor ou raça - Branca,42089,pessoas
População residente - cor ou raça - Preta,925,pessoas
População residente - cor ou raça - Parda,5883,pessoas
População residente - classes de rendimento nominal mensal - Até 1/4 de salário mínimo ,979,pessoas
População residente - classes de rendimento nominal mensal - Mais de 30 salários mínimos ,30,pessoas
Área da unidade territorial,2413.143,Km²
Eleitorado,37679,Eleitores
PIB per capita a preços correntes,9324.74,Reais
Matrícula - Ensino fundamental - 2009,6663,Matrículas
Matrícula - Ensino médio - 2009,2124,Matrículas
Docentes - Ensino fundamental - 2009,479,Docentes
Docentes - Ensino médio - 2009,184,Docentes
Estabelecimentos de Saúde SUS,25,estabelecimentos
Nascidos vivos -  registrados - lugar do registro,629,pessoas
Receitas orçamentárias realizadas - Correntes,5349915277,Reais
Despesas orçamentárias empenhadas - Correntes,4235972433,Reais
Valor do Fundo de Participação dos Municípios  - FPM,1462697718,Reais
Número de unidades locais,1846,Unidades
Pessoal ocupado total,8023,Pessoas
Fonte:IBGE - Instituto Brasileiro de Geografia e Estatística

