SANTO ANTÃ´NIO DA PATRULHA  código:431760

Descrição,Valor,Unidade
Total de endereços urbanos,13486,endereços
Total de endereços rurais,6329,endereços
Total de estabelecimentos de ensino,57,estabelecimentos
Total de estabelecimentos de saúde,42,estabelecimentos
Domicílios particulares permanentes,13791,domicílios
Domicílios particulares permanentes - abastecimento de água - Rede geral,7379,domicílios
Domicílios particulares permanentes - energia elétrica - Tinham,13716,domicílios
População residente ,39685,pessoas
População residente - Homens,19756,pessoas
População residente - Mulheres,19929,pessoas
População residente alfabetizada,33730,pessoas
População residente - cor ou raça - Branca,35559,pessoas
População residente - cor ou raça - Preta,2237,pessoas
População residente - cor ou raça - Parda,1827,pessoas
População residente - classes de rendimento nominal mensal - Até 1/4 de salário mínimo ,466,pessoas
População residente - classes de rendimento nominal mensal - Mais de 30 salários mínimos ,20,pessoas
Área da unidade territorial,1049.810,Km²
Eleitorado,29241,Eleitores
PIB per capita a preços correntes,11748.97,Reais
Matrícula - Ensino fundamental - 2009,5532,Matrículas
Matrícula - Ensino médio - 2009,1570,Matrículas
Docentes - Ensino fundamental - 2009,366,Docentes
Docentes - Ensino médio - 2009,99,Docentes
Estabelecimentos de Saúde SUS,15,estabelecimentos
Nascidos vivos -  registrados - lugar do registro,369,pessoas
Receitas orçamentárias realizadas - Correntes,5004406499,Reais
Despesas orçamentárias empenhadas - Correntes,3652568599,Reais
Valor do Fundo de Participação dos Municípios  - FPM,1196752673,Reais
Número de unidades locais,1603,Unidades
Pessoal ocupado total,9348,Pessoas
Fonte:IBGE - Instituto Brasileiro de Geografia e Estatística

