SANTO ANTÃ´NIO DAS MISSÃµES  código:431770

Descrição,Valor,Unidade
Total de endereços urbanos,3230,endereços
Total de endereços rurais,2023,endereços
Total de estabelecimentos de ensino,20,estabelecimentos
Total de estabelecimentos de saúde,21,estabelecimentos
Domicílios particulares permanentes,3819,domicílios
Domicílios particulares permanentes - abastecimento de água - Rede geral,2942,domicílios
Domicílios particulares permanentes - energia elétrica - Tinham,3778,domicílios
População residente ,11210,pessoas
População residente - Homens,5579,pessoas
População residente - Mulheres,5631,pessoas
População residente alfabetizada,9527,pessoas
População residente - cor ou raça - Branca,8086,pessoas
População residente - cor ou raça - Preta,536,pessoas
População residente - cor ou raça - Parda,2522,pessoas
População residente - classes de rendimento nominal mensal - Até 1/4 de salário mínimo ,546,pessoas
População residente - classes de rendimento nominal mensal - Mais de 30 salários mínimos ,3,pessoas
Área da unidade territorial,1710.876,Km²
Eleitorado,9626,Eleitores
PIB per capita a preços correntes,12092.81,Reais
Matrícula - Ensino fundamental - 2009,1589,Matrículas
Matrícula - Ensino médio - 2009,524,Matrículas
Docentes - Ensino fundamental - 2009,144,Docentes
Docentes - Ensino médio - 2009,38,Docentes
Estabelecimentos de Saúde SUS,11,estabelecimentos
Nascidos vivos -  registrados - lugar do registro,128,pessoas
Receitas orçamentárias realizadas - Correntes,Não informado,Reais
Despesas orçamentárias empenhadas - Correntes,Não informado,Reais
Valor do Fundo de Participação dos Municípios  - FPM,Não informado,Reais
Número de unidades locais,447,Unidades
Pessoal ocupado total,1129,Pessoas
Fonte:IBGE - Instituto Brasileiro de Geografia e Estatística

