SANTO ANTÃ´NIO DO PALMA  código:431755

Descrição,Valor,Unidade
Total de endereços urbanos,363,endereços
Total de endereços rurais,549,endereços
Total de estabelecimentos de ensino,3,estabelecimentos
Total de estabelecimentos de saúde,3,estabelecimentos
Domicílios particulares permanentes,655,domicílios
Domicílios particulares permanentes - abastecimento de água - Rede geral,524,domicílios
Domicílios particulares permanentes - energia elétrica - Tinham,652,domicílios
População residente ,2139,pessoas
População residente - Homens,1112,pessoas
População residente - Mulheres,1027,pessoas
População residente alfabetizada,1928,pessoas
População residente - cor ou raça - Branca,1966,pessoas
População residente - cor ou raça - Preta,24,pessoas
População residente - cor ou raça - Parda,143,pessoas
População residente - classes de rendimento nominal mensal - Até 1/4 de salário mínimo ,24,pessoas
População residente - classes de rendimento nominal mensal - Mais de 30 salários mínimos ,7,pessoas
Área da unidade territorial,126.095,Km²
Eleitorado,1676,Eleitores
PIB per capita a preços correntes,15859.19,Reais
Matrícula - Ensino fundamental - 2009,254,Matrículas
Matrícula - Ensino médio - 2009,76,Matrículas
Docentes - Ensino fundamental - 2009,20,Docentes
Docentes - Ensino médio - 2009,8,Docentes
Estabelecimentos de Saúde SUS,1,estabelecimentos
Nascidos vivos -  registrados - lugar do registro,-,pessoas
Receitas orçamentárias realizadas - Correntes,776430037,Reais
Despesas orçamentárias empenhadas - Correntes,561406300,Reais
Valor do Fundo de Participação dos Municípios  - FPM,406445299,Reais
Número de unidades locais,72,Unidades
Pessoal ocupado total,340,Pessoas
Fonte:IBGE - Instituto Brasileiro de Geografia e Estatística

