SANTO ANTÃ´NIO DO PLANALTO  código:431775

Descrição,Valor,Unidade
Total de endereços urbanos,603,endereços
Total de endereços rurais,384,endereços
Total de estabelecimentos de ensino,3,estabelecimentos
Total de estabelecimentos de saúde,2,estabelecimentos
Domicílios particulares permanentes,694,domicílios
Domicílios particulares permanentes - abastecimento de água - Rede geral,602,domicílios
Domicílios particulares permanentes - energia elétrica - Tinham,694,domicílios
População residente ,1987,pessoas
População residente - Homens,980,pessoas
População residente - Mulheres,1007,pessoas
População residente alfabetizada,1752,pessoas
População residente - cor ou raça - Branca,1806,pessoas
População residente - cor ou raça - Preta,15,pessoas
População residente - cor ou raça - Parda,158,pessoas
População residente - classes de rendimento nominal mensal - Até 1/4 de salário mínimo ,47,pessoas
População residente - classes de rendimento nominal mensal - Mais de 30 salários mínimos ,1,pessoas
Área da unidade territorial,203.441,Km²
Eleitorado,1690,Eleitores
PIB per capita a preços correntes,26566.34,Reais
Matrícula - Ensino fundamental - 2009,292,Matrículas
Matrícula - Ensino médio - 2009,71,Matrículas
Docentes - Ensino fundamental - 2009,24,Docentes
Docentes - Ensino médio - 2009,10,Docentes
Estabelecimentos de Saúde SUS,1,estabelecimentos
Nascidos vivos -  registrados - lugar do registro,-,pessoas
Receitas orçamentárias realizadas - Correntes,839931673,Reais
Despesas orçamentárias empenhadas - Correntes,589827696,Reais
Valor do Fundo de Participação dos Municípios  - FPM,398919151,Reais
Número de unidades locais,108,Unidades
Pessoal ocupado total,321,Pessoas
Fonte:IBGE - Instituto Brasileiro de Geografia e Estatística

