SANTO AUGUSTO  código:431780

Descrição,Valor,Unidade
Total de endereços urbanos,5099,endereços
Total de endereços rurais,1077,endereços
Total de estabelecimentos de ensino,22,estabelecimentos
Total de estabelecimentos de saúde,20,estabelecimentos
Domicílios particulares permanentes,4791,domicílios
Domicílios particulares permanentes - abastecimento de água - Rede geral,4354,domicílios
Domicílios particulares permanentes - energia elétrica - Tinham,4765,domicílios
População residente ,13968,pessoas
População residente - Homens,6811,pessoas
População residente - Mulheres,7157,pessoas
População residente alfabetizada,11905,pessoas
População residente - cor ou raça - Branca,11351,pessoas
População residente - cor ou raça - Preta,222,pessoas
População residente - cor ou raça - Parda,2331,pessoas
População residente - classes de rendimento nominal mensal - Até 1/4 de salário mínimo ,452,pessoas
População residente - classes de rendimento nominal mensal - Mais de 30 salários mínimos ,26,pessoas
Área da unidade territorial,468.105,Km²
Eleitorado,10367,Eleitores
PIB per capita a preços correntes,16163.67,Reais
Matrícula - Ensino fundamental - 2009,1905,Matrículas
Matrícula - Ensino médio - 2009,634,Matrículas
Docentes - Ensino fundamental - 2009,134,Docentes
Docentes - Ensino médio - 2009,85,Docentes
Estabelecimentos de Saúde SUS,7,estabelecimentos
Nascidos vivos -  registrados - lugar do registro,239,pessoas
Receitas orçamentárias realizadas - Correntes,2080807815,Reais
Despesas orçamentárias empenhadas - Correntes,1632125721,Reais
Valor do Fundo de Participação dos Municípios  - FPM,664862595,Reais
Número de unidades locais,534,Unidades
Pessoal ocupado total,2437,Pessoas
Fonte:IBGE - Instituto Brasileiro de Geografia e Estatística

