SANTO CRISTO  código:431790

Descrição,Valor,Unidade
Total de endereços urbanos,3532,endereços
Total de endereços rurais,2590,endereços
Total de estabelecimentos de ensino,32,estabelecimentos
Total de estabelecimentos de saúde,17,estabelecimentos
Domicílios particulares permanentes,4856,domicílios
Domicílios particulares permanentes - abastecimento de água - Rede geral,4290,domicílios
Domicílios particulares permanentes - energia elétrica - Tinham,4845,domicílios
População residente ,14378,pessoas
População residente - Homens,7190,pessoas
População residente - Mulheres,7188,pessoas
População residente alfabetizada,13186,pessoas
População residente - cor ou raça - Branca,13264,pessoas
População residente - cor ou raça - Preta,166,pessoas
População residente - cor ou raça - Parda,940,pessoas
População residente - classes de rendimento nominal mensal - Até 1/4 de salário mínimo ,235,pessoas
População residente - classes de rendimento nominal mensal - Mais de 30 salários mínimos ,20,pessoas
Área da unidade territorial,366.887,Km²
Eleitorado,11642,Eleitores
PIB per capita a preços correntes,20006.60,Reais
Matrícula - Ensino fundamental - 2009,1709,Matrículas
Matrícula - Ensino médio - 2009,519,Matrículas
Docentes - Ensino fundamental - 2009,109,Docentes
Docentes - Ensino médio - 2009,29,Docentes
Estabelecimentos de Saúde SUS,12,estabelecimentos
Nascidos vivos -  registrados - lugar do registro,147,pessoas
Receitas orçamentárias realizadas - Correntes,2140422116,Reais
Despesas orçamentárias empenhadas - Correntes,1905869995,Reais
Valor do Fundo de Participação dos Municípios  - FPM,664862595,Reais
Número de unidades locais,638,Unidades
Pessoal ocupado total,3420,Pessoas
Fonte:IBGE - Instituto Brasileiro de Geografia e Estatística

