SANTO EXPEDITO DO SUL  código:431795

Descrição,Valor,Unidade
Total de endereços urbanos,450,endereços
Total de endereços rurais,656,endereços
Total de estabelecimentos de ensino,2,estabelecimentos
Total de estabelecimentos de saúde,0,estabelecimentos
Domicílios particulares permanentes,821,domicílios
Domicílios particulares permanentes - abastecimento de água - Rede geral,659,domicílios
Domicílios particulares permanentes - energia elétrica - Tinham,819,domicílios
População residente ,2461,pessoas
População residente - Homens,1239,pessoas
População residente - Mulheres,1222,pessoas
População residente alfabetizada,2158,pessoas
População residente - cor ou raça - Branca,2304,pessoas
População residente - cor ou raça - Preta,38,pessoas
População residente - cor ou raça - Parda,101,pessoas
População residente - classes de rendimento nominal mensal - Até 1/4 de salário mínimo ,128,pessoas
População residente - classes de rendimento nominal mensal - Mais de 30 salários mínimos ,-,pessoas
Área da unidade territorial,125.736,Km²
Eleitorado,2029,Eleitores
PIB per capita a preços correntes,16052.42,Reais
Matrícula - Ensino fundamental - 2009,324,Matrículas
Matrícula - Ensino médio - 2009,135,Matrículas
Docentes - Ensino fundamental - 2009,45,Docentes
Docentes - Ensino médio - 2009,15,Docentes
Estabelecimentos de Saúde SUS,2,estabelecimentos
Nascidos vivos -  registrados - lugar do registro,-,pessoas
Receitas orçamentárias realizadas - Correntes,698454348,Reais
Despesas orçamentárias empenhadas - Correntes,571908529,Reais
Valor do Fundo de Participação dos Municípios  - FPM,399803765,Reais
Número de unidades locais,36,Unidades
Pessoal ocupado total,233,Pessoas
Fonte:IBGE - Instituto Brasileiro de Geografia e Estatística

