SANTO Ã‚NGELO  código:431750

Descrição,Valor,Unidade
Total de endereços urbanos,30508,endereços
Total de endereços rurais,2030,endereços
Total de estabelecimentos de ensino,90,estabelecimentos
Total de estabelecimentos de saúde,134,estabelecimentos
Domicílios particulares permanentes,25734,domicílios
Domicílios particulares permanentes - abastecimento de água - Rede geral,24573,domicílios
Domicílios particulares permanentes - energia elétrica - Tinham,25665,domicílios
População residente ,76275,pessoas
População residente - Homens,36586,pessoas
População residente - Mulheres,39689,pessoas
População residente alfabetizada,67747,pessoas
População residente - cor ou raça - Branca,62655,pessoas
População residente - cor ou raça - Preta,1362,pessoas
População residente - cor ou raça - Parda,11705,pessoas
População residente - classes de rendimento nominal mensal - Até 1/4 de salário mínimo ,1664,pessoas
População residente - classes de rendimento nominal mensal - Mais de 30 salários mínimos ,114,pessoas
Área da unidade territorial,680.500,Km²
Eleitorado,59230,Eleitores
PIB per capita a preços correntes,13982.97,Reais
Matrícula - Ensino fundamental - 2009,10946,Matrículas
Matrícula - Ensino médio - 2009,3108,Matrículas
Docentes - Ensino fundamental - 2009,676,Docentes
Docentes - Ensino médio - 2009,252,Docentes
Estabelecimentos de Saúde SUS,37,estabelecimentos
Nascidos vivos -  registrados - lugar do registro,1016,pessoas
Receitas orçamentárias realizadas - Correntes,8006551269,Reais
Despesas orçamentárias empenhadas - Correntes,7360734755,Reais
Valor do Fundo de Participação dos Municípios  - FPM,1728642761,Reais
Número de unidades locais,3536,Unidades
Pessoal ocupado total,18011,Pessoas
Fonte:IBGE - Instituto Brasileiro de Geografia e Estatística

