SAPIRANGA  código:431990

Descrição,Valor,Unidade
Total de endereços urbanos,30736,endereços
Total de endereços rurais,1350,endereços
Total de estabelecimentos de ensino,48,estabelecimentos
Total de estabelecimentos de saúde,46,estabelecimentos
Domicílios particulares permanentes,24487,domicílios
Domicílios particulares permanentes - abastecimento de água - Rede geral,14518,domicílios
Domicílios particulares permanentes - energia elétrica - Tinham,24437,domicílios
População residente ,74985,pessoas
População residente - Homens,36989,pessoas
População residente - Mulheres,37996,pessoas
População residente alfabetizada,65491,pessoas
População residente - cor ou raça - Branca,63613,pessoas
População residente - cor ou raça - Preta,1532,pessoas
População residente - cor ou raça - Parda,9357,pessoas
População residente - classes de rendimento nominal mensal - Até 1/4 de salário mínimo ,537,pessoas
População residente - classes de rendimento nominal mensal - Mais de 30 salários mínimos ,35,pessoas
Área da unidade territorial,138.315,Km²
Eleitorado,53327,Eleitores
PIB per capita a preços correntes,12848.19,Reais
Matrícula - Ensino fundamental - 2009,12371,Matrículas
Matrícula - Ensino médio - 2009,3484,Matrículas
Docentes - Ensino fundamental - 2009,567,Docentes
Docentes - Ensino médio - 2009,141,Docentes
Estabelecimentos de Saúde SUS,14,estabelecimentos
Nascidos vivos -  registrados - lugar do registro,1430,pessoas
Receitas orçamentárias realizadas - Correntes,9880698978,Reais
Despesas orçamentárias empenhadas - Correntes,7582258911,Reais
Valor do Fundo de Participação dos Municípios  - FPM,1758798207,Reais
Número de unidades locais,3731,Unidades
Pessoal ocupado total,27578,Pessoas
Fonte:IBGE - Instituto Brasileiro de Geografia e Estatística

