SAPUCAIA DO SUL  código:432000

Descrição,Valor,Unidade
Total de endereços urbanos,51350,endereços
Total de endereços rurais,217,endereços
Total de estabelecimentos de ensino,60,estabelecimentos
Total de estabelecimentos de saúde,58,estabelecimentos
Domicílios particulares permanentes,42735,domicílios
Domicílios particulares permanentes - abastecimento de água - Rede geral,38427,domicílios
Domicílios particulares permanentes - energia elétrica - Tinham,42605,domicílios
População residente ,130957,pessoas
População residente - Homens,63747,pessoas
População residente - Mulheres,67210,pessoas
População residente alfabetizada,115975,pessoas
População residente - cor ou raça - Branca,113378,pessoas
População residente - cor ou raça - Preta,6729,pessoas
População residente - cor ou raça - Parda,10423,pessoas
População residente - classes de rendimento nominal mensal - Até 1/4 de salário mínimo ,898,pessoas
População residente - classes de rendimento nominal mensal - Mais de 30 salários mínimos ,27,pessoas
Área da unidade territorial,58.309,Km²
Eleitorado,94748,Eleitores
PIB per capita a preços correntes,13528.64,Reais
Matrícula - Ensino fundamental - 2009,20150,Matrículas
Matrícula - Ensino médio - 2009,4948,Matrículas
Docentes - Ensino fundamental - 2009,738,Docentes
Docentes - Ensino médio - 2009,241,Docentes
Estabelecimentos de Saúde SUS,24,estabelecimentos
Nascidos vivos -  registrados - lugar do registro,1678,pessoas
Receitas orçamentárias realizadas - Correntes,15965573057,Reais
Despesas orçamentárias empenhadas - Correntes,13528746646,Reais
Valor do Fundo de Participação dos Municípios  - FPM,2274614640,Reais
Número de unidades locais,3646,Unidades
Pessoal ocupado total,22366,Pessoas
Fonte:IBGE - Instituto Brasileiro de Geografia e Estatística

