SEBERI  código:432020

Descrição,Valor,Unidade
Total de endereços urbanos,2701,endereços
Total de endereços rurais,2118,endereços
Total de estabelecimentos de ensino,25,estabelecimentos
Total de estabelecimentos de saúde,20,estabelecimentos
Domicílios particulares permanentes,3686,domicílios
Domicílios particulares permanentes - abastecimento de água - Rede geral,2929,domicílios
Domicílios particulares permanentes - energia elétrica - Tinham,3663,domicílios
População residente ,10897,pessoas
População residente - Homens,5349,pessoas
População residente - Mulheres,5548,pessoas
População residente alfabetizada,9359,pessoas
População residente - cor ou raça - Branca,8916,pessoas
População residente - cor ou raça - Preta,183,pessoas
População residente - cor ou raça - Parda,1767,pessoas
População residente - classes de rendimento nominal mensal - Até 1/4 de salário mínimo ,541,pessoas
População residente - classes de rendimento nominal mensal - Mais de 30 salários mínimos ,9,pessoas
Área da unidade territorial,301.421,Km²
Eleitorado,8414,Eleitores
PIB per capita a preços correntes,12289.74,Reais
Matrícula - Ensino fundamental - 2009,1565,Matrículas
Matrícula - Ensino médio - 2009,439,Matrículas
Docentes - Ensino fundamental - 2009,108,Docentes
Docentes - Ensino médio - 2009,35,Docentes
Estabelecimentos de Saúde SUS,5,estabelecimentos
Nascidos vivos -  registrados - lugar do registro,165,pessoas
Receitas orçamentárias realizadas - Correntes,1443075164,Reais
Despesas orçamentárias empenhadas - Correntes,1187599525,Reais
Valor do Fundo de Participação dos Municípios  - FPM,531890081,Reais
Número de unidades locais,388,Unidades
Pessoal ocupado total,1624,Pessoas
Fonte:IBGE - Instituto Brasileiro de Geografia e Estatística

