SEDE NOVA  código:432023

Descrição,Valor,Unidade
Total de endereços urbanos,744,endereços
Total de endereços rurais,554,endereços
Total de estabelecimentos de ensino,2,estabelecimentos
Total de estabelecimentos de saúde,1,estabelecimentos
Domicílios particulares permanentes,1022,domicílios
Domicílios particulares permanentes - abastecimento de água - Rede geral,902,domicílios
Domicílios particulares permanentes - energia elétrica - Tinham,1016,domicílios
População residente ,3011,pessoas
População residente - Homens,1531,pessoas
População residente - Mulheres,1480,pessoas
População residente alfabetizada,2575,pessoas
População residente - cor ou raça - Branca,2353,pessoas
População residente - cor ou raça - Preta,82,pessoas
População residente - cor ou raça - Parda,559,pessoas
População residente - classes de rendimento nominal mensal - Até 1/4 de salário mínimo ,115,pessoas
População residente - classes de rendimento nominal mensal - Mais de 30 salários mínimos ,4,pessoas
Área da unidade territorial,119.297,Km²
Eleitorado,2270,Eleitores
PIB per capita a preços correntes,16231.63,Reais
Matrícula - Ensino fundamental - 2009,452,Matrículas
Matrícula - Ensino médio - 2009,96,Matrículas
Docentes - Ensino fundamental - 2009,46,Docentes
Docentes - Ensino médio - 2009,16,Docentes
Estabelecimentos de Saúde SUS,1,estabelecimentos
Nascidos vivos -  registrados - lugar do registro,24,pessoas
Receitas orçamentárias realizadas - Correntes,830540610,Reais
Despesas orçamentárias empenhadas - Correntes,604272822,Reais
Valor do Fundo de Participação dos Municípios  - FPM,398978077,Reais
Número de unidades locais,117,Unidades
Pessoal ocupado total,369,Pessoas
Fonte:IBGE - Instituto Brasileiro de Geografia e Estatística

