SERTÃ£O  código:432050

Descrição,Valor,Unidade
Total de endereços urbanos,1679,endereços
Total de endereços rurais,1242,endereços
Total de estabelecimentos de ensino,9,estabelecimentos
Total de estabelecimentos de saúde,5,estabelecimentos
Domicílios particulares permanentes,2168,domicílios
Domicílios particulares permanentes - abastecimento de água - Rede geral,1389,domicílios
Domicílios particulares permanentes - energia elétrica - Tinham,2162,domicílios
População residente ,6294,pessoas
População residente - Homens,3045,pessoas
População residente - Mulheres,3249,pessoas
População residente alfabetizada,5613,pessoas
População residente - cor ou raça - Branca,5049,pessoas
População residente - cor ou raça - Preta,341,pessoas
População residente - cor ou raça - Parda,836,pessoas
População residente - classes de rendimento nominal mensal - Até 1/4 de salário mínimo ,136,pessoas
População residente - classes de rendimento nominal mensal - Mais de 30 salários mínimos ,6,pessoas
Área da unidade territorial,439.473,Km²
Eleitorado,5691,Eleitores
PIB per capita a preços correntes,19281.77,Reais
Matrícula - Ensino fundamental - 2009,772,Matrículas
Matrícula - Ensino médio - 2009,555,Matrículas
Docentes - Ensino fundamental - 2009,77,Docentes
Docentes - Ensino médio - 2009,44,Docentes
Estabelecimentos de Saúde SUS,5,estabelecimentos
Nascidos vivos -  registrados - lugar do registro,37,pessoas
Receitas orçamentárias realizadas - Correntes,1199641827,Reais
Despesas orçamentárias empenhadas - Correntes,909850565,Reais
Valor do Fundo de Participação dos Municípios  - FPM,398917557,Reais
Número de unidades locais,219,Unidades
Pessoal ocupado total,1004,Pessoas
Fonte:IBGE - Instituto Brasileiro de Geografia e Estatística

