SILVEIRA MARTINS  código:432065

Descrição,Valor,Unidade
Total de endereços urbanos,513,endereços
Total de endereços rurais,641,endereços
Total de estabelecimentos de ensino,2,estabelecimentos
Total de estabelecimentos de saúde,5,estabelecimentos
Domicílios particulares permanentes,813,domicílios
Domicílios particulares permanentes - abastecimento de água - Rede geral,430,domicílios
Domicílios particulares permanentes - energia elétrica - Tinham,807,domicílios
População residente ,2449,pessoas
População residente - Homens,1227,pessoas
População residente - Mulheres,1222,pessoas
População residente alfabetizada,2178,pessoas
População residente - cor ou raça - Branca,2075,pessoas
População residente - cor ou raça - Preta,101,pessoas
População residente - cor ou raça - Parda,256,pessoas
População residente - classes de rendimento nominal mensal - Até 1/4 de salário mínimo ,75,pessoas
População residente - classes de rendimento nominal mensal - Mais de 30 salários mínimos ,1,pessoas
Área da unidade territorial,118.423,Km²
Eleitorado,2111,Eleitores
PIB per capita a preços correntes,10036.23,Reais
Matrícula - Ensino fundamental - 2009,318,Matrículas
Matrícula - Ensino médio - 2009,96,Matrículas
Docentes - Ensino fundamental - 2009,36,Docentes
Docentes - Ensino médio - 2009,14,Docentes
Estabelecimentos de Saúde SUS,1,estabelecimentos
Nascidos vivos -  registrados - lugar do registro,26,pessoas
Receitas orçamentárias realizadas - Correntes,712171601,Reais
Despesas orçamentárias empenhadas - Correntes,535267773,Reais
Valor do Fundo de Participação dos Municípios  - FPM,398917557,Reais
Número de unidades locais,84,Unidades
Pessoal ocupado total,318,Pessoas
Fonte:IBGE - Instituto Brasileiro de Geografia e Estatística

