SOLEDADE  código:432080

Descrição,Valor,Unidade
Total de endereços urbanos,10030,endereços
Total de endereços rurais,2429,endereços
Total de estabelecimentos de ensino,30,estabelecimentos
Total de estabelecimentos de saúde,74,estabelecimentos
Domicílios particulares permanentes,9970,domicílios
Domicílios particulares permanentes - abastecimento de água - Rede geral,8608,domicílios
Domicílios particulares permanentes - energia elétrica - Tinham,9873,domicílios
População residente ,30044,pessoas
População residente - Homens,14729,pessoas
População residente - Mulheres,15315,pessoas
População residente alfabetizada,25417,pessoas
População residente - cor ou raça - Branca,24440,pessoas
População residente - cor ou raça - Preta,784,pessoas
População residente - cor ou raça - Parda,4581,pessoas
População residente - classes de rendimento nominal mensal - Até 1/4 de salário mínimo ,593,pessoas
População residente - classes de rendimento nominal mensal - Mais de 30 salários mínimos ,18,pessoas
Área da unidade territorial,1213.414,Km²
Eleitorado,21971,Eleitores
PIB per capita a preços correntes,10254.50,Reais
Matrícula - Ensino fundamental - 2009,4612,Matrículas
Matrícula - Ensino médio - 2009,1174,Matrículas
Docentes - Ensino fundamental - 2009,315,Docentes
Docentes - Ensino médio - 2009,118,Docentes
Estabelecimentos de Saúde SUS,17,estabelecimentos
Nascidos vivos -  registrados - lugar do registro,371,pessoas
Receitas orçamentárias realizadas - Correntes,3490737746,Reais
Despesas orçamentárias empenhadas - Correntes,2894145718,Reais
Valor do Fundo de Participação dos Municípios  - FPM,1063780161,Reais
Número de unidades locais,1291,Unidades
Pessoal ocupado total,5161,Pessoas
Fonte:IBGE - Instituto Brasileiro de Geografia e Estatística

