SÃ£O GABRIEL  código:431830

Descrição,Valor,Unidade
Total de endereços urbanos,21930,endereços
Total de endereços rurais,3687,endereços
Total de estabelecimentos de ensino,61,estabelecimentos
Total de estabelecimentos de saúde,82,estabelecimentos
Domicílios particulares permanentes,19975,domicílios
Domicílios particulares permanentes - abastecimento de água - Rede geral,17626,domicílios
Domicílios particulares permanentes - energia elétrica - Tinham,19632,domicílios
População residente ,60425,pessoas
População residente - Homens,29429,pessoas
População residente - Mulheres,30996,pessoas
População residente alfabetizada,51571,pessoas
População residente - cor ou raça - Branca,48141,pessoas
População residente - cor ou raça - Preta,3928,pessoas
População residente - cor ou raça - Parda,8078,pessoas
População residente - classes de rendimento nominal mensal - Até 1/4 de salário mínimo ,1445,pessoas
População residente - classes de rendimento nominal mensal - Mais de 30 salários mínimos ,68,pessoas
Área da unidade territorial,5023.843,Km²
Eleitorado,44088,Eleitores
PIB per capita a preços correntes,11909.57,Reais
Matrícula - Ensino fundamental - 2009,9420,Matrículas
Matrícula - Ensino médio - 2009,2360,Matrículas
Docentes - Ensino fundamental - 2009,486,Docentes
Docentes - Ensino médio - 2009,149,Docentes
Estabelecimentos de Saúde SUS,13,estabelecimentos
Nascidos vivos -  registrados - lugar do registro,783,pessoas
Receitas orçamentárias realizadas - Correntes,6353348300,Reais
Despesas orçamentárias empenhadas - Correntes,5664025100,Reais
Valor do Fundo de Participação dos Municípios  - FPM,1447172700,Reais
Número de unidades locais,1825,Unidades
Pessoal ocupado total,8910,Pessoas
Fonte:IBGE - Instituto Brasileiro de Geografia e Estatística

