SÃ£O JOSÃ© DAS MISSÃµES  código:431845

Descrição,Valor,Unidade
Total de endereços urbanos,427,endereços
Total de endereços rurais,721,endereços
Total de estabelecimentos de ensino,4,estabelecimentos
Total de estabelecimentos de saúde,1,estabelecimentos
Domicílios particulares permanentes,903,domicílios
Domicílios particulares permanentes - abastecimento de água - Rede geral,782,domicílios
Domicílios particulares permanentes - energia elétrica - Tinham,898,domicílios
População residente ,2720,pessoas
População residente - Homens,1377,pessoas
População residente - Mulheres,1343,pessoas
População residente alfabetizada,2314,pessoas
População residente - cor ou raça - Branca,1752,pessoas
População residente - cor ou raça - Preta,23,pessoas
População residente - cor ou raça - Parda,929,pessoas
População residente - classes de rendimento nominal mensal - Até 1/4 de salário mínimo ,171,pessoas
População residente - classes de rendimento nominal mensal - Mais de 30 salários mínimos ,2,pessoas
Área da unidade territorial,98.071,Km²
Eleitorado,2324,Eleitores
PIB per capita a preços correntes,9299.69,Reais
Matrícula - Ensino fundamental - 2009,440,Matrículas
Matrícula - Ensino médio - 2009,139,Matrículas
Docentes - Ensino fundamental - 2009,36,Docentes
Docentes - Ensino médio - 2009,12,Docentes
Estabelecimentos de Saúde SUS,1,estabelecimentos
Nascidos vivos -  registrados - lugar do registro,-,pessoas
Receitas orçamentárias realizadas - Correntes,670972590,Reais
Despesas orçamentárias empenhadas - Correntes,549357240,Reais
Valor do Fundo de Participação dos Municípios  - FPM,398917557,Reais
Número de unidades locais,62,Unidades
Pessoal ocupado total,239,Pessoas
Fonte:IBGE - Instituto Brasileiro de Geografia e Estatística

