SÃ£O JOSÃ© DO HERVAL  código:431846

Descrição,Valor,Unidade
Total de endereços urbanos,434,endereços
Total de endereços rurais,523,endereços
Total de estabelecimentos de ensino,13,estabelecimentos
Total de estabelecimentos de saúde,1,estabelecimentos
Domicílios particulares permanentes,709,domicílios
Domicílios particulares permanentes - abastecimento de água - Rede geral,377,domicílios
Domicílios particulares permanentes - energia elétrica - Tinham,704,domicílios
População residente ,2204,pessoas
População residente - Homens,1136,pessoas
População residente - Mulheres,1068,pessoas
População residente alfabetizada,1737,pessoas
População residente - cor ou raça - Branca,1622,pessoas
População residente - cor ou raça - Preta,67,pessoas
População residente - cor ou raça - Parda,501,pessoas
População residente - classes de rendimento nominal mensal - Até 1/4 de salário mínimo ,104,pessoas
População residente - classes de rendimento nominal mensal - Mais de 30 salários mínimos ,2,pessoas
Área da unidade territorial,103.094,Km²
Eleitorado,1916,Eleitores
PIB per capita a preços correntes,8999.41,Reais
Matrícula - Ensino fundamental - 2009,445,Matrículas
Matrícula - Ensino médio - 2009,117,Matrículas
Docentes - Ensino fundamental - 2009,35,Docentes
Docentes - Ensino médio - 2009,12,Docentes
Estabelecimentos de Saúde SUS,2,estabelecimentos
Nascidos vivos -  registrados - lugar do registro,13,pessoas
Receitas orçamentárias realizadas - Correntes,781020953,Reais
Despesas orçamentárias empenhadas - Correntes,591279851,Reais
Valor do Fundo de Participação dos Municípios  - FPM,398938454,Reais
Número de unidades locais,88,Unidades
Pessoal ocupado total,392,Pessoas
Fonte:IBGE - Instituto Brasileiro de Geografia e Estatística

