SÃ£O JOÃ£O DA URTIGA  código:431842

Descrição,Valor,Unidade
Total de endereços urbanos,1214,endereços
Total de endereços rurais,945,endereços
Total de estabelecimentos de ensino,7,estabelecimentos
Total de estabelecimentos de saúde,9,estabelecimentos
Domicílios particulares permanentes,1600,domicílios
Domicílios particulares permanentes - abastecimento de água - Rede geral,1122,domicílios
Domicílios particulares permanentes - energia elétrica - Tinham,1599,domicílios
População residente ,4726,pessoas
População residente - Homens,2401,pessoas
População residente - Mulheres,2325,pessoas
População residente alfabetizada,4113,pessoas
População residente - cor ou raça - Branca,4353,pessoas
População residente - cor ou raça - Preta,65,pessoas
População residente - cor ou raça - Parda,301,pessoas
População residente - classes de rendimento nominal mensal - Até 1/4 de salário mínimo ,153,pessoas
População residente - classes de rendimento nominal mensal - Mais de 30 salários mínimos ,5,pessoas
Área da unidade territorial,171.177,Km²
Eleitorado,3977,Eleitores
PIB per capita a preços correntes,11819.58,Reais
Matrícula - Ensino fundamental - 2009,636,Matrículas
Matrícula - Ensino médio - 2009,207,Matrículas
Docentes - Ensino fundamental - 2009,49,Docentes
Docentes - Ensino médio - 2009,16,Docentes
Estabelecimentos de Saúde SUS,2,estabelecimentos
Nascidos vivos -  registrados - lugar do registro,31,pessoas
Receitas orçamentárias realizadas - Correntes,889501409,Reais
Despesas orçamentárias empenhadas - Correntes,660989178,Reais
Valor do Fundo de Participação dos Municípios  - FPM,398917557,Reais
Número de unidades locais,164,Unidades
Pessoal ocupado total,751,Pessoas
Fonte:IBGE - Instituto Brasileiro de Geografia e Estatística

