SÃ£O JOÃ£O DO POLÃªSINE  código:431843

Descrição,Valor,Unidade
Total de endereços urbanos,695,endereços
Total de endereços rurais,489,endereços
Total de estabelecimentos de ensino,5,estabelecimentos
Total de estabelecimentos de saúde,5,estabelecimentos
Domicílios particulares permanentes,855,domicílios
Domicílios particulares permanentes - abastecimento de água - Rede geral,374,domicílios
Domicílios particulares permanentes - energia elétrica - Tinham,851,domicílios
População residente ,2635,pessoas
População residente - Homens,1272,pessoas
População residente - Mulheres,1363,pessoas
População residente alfabetizada,2411,pessoas
População residente - cor ou raça - Branca,2107,pessoas
População residente - cor ou raça - Preta,211,pessoas
População residente - cor ou raça - Parda,316,pessoas
População residente - classes de rendimento nominal mensal - Até 1/4 de salário mínimo ,47,pessoas
População residente - classes de rendimento nominal mensal - Mais de 30 salários mínimos ,3,pessoas
Área da unidade territorial,85.170,Km²
Eleitorado,2246,Eleitores
PIB per capita a preços correntes,12124.85,Reais
Matrícula - Ensino fundamental - 2009,437,Matrículas
Matrícula - Ensino médio - 2009,111,Matrículas
Docentes - Ensino fundamental - 2009,41,Docentes
Docentes - Ensino médio - 2009,14,Docentes
Estabelecimentos de Saúde SUS,3,estabelecimentos
Nascidos vivos -  registrados - lugar do registro,-,pessoas
Receitas orçamentárias realizadas - Correntes,714653390,Reais
Despesas orçamentárias empenhadas - Correntes,549746918,Reais
Valor do Fundo de Participação dos Municípios  - FPM,398917557,Reais
Número de unidades locais,163,Unidades
Pessoal ocupado total,513,Pessoas
Fonte:IBGE - Instituto Brasileiro de Geografia e Estatística

