SÃ£O LEOPOLDO  código:431870

Descrição,Valor,Unidade
Total de endereços urbanos,87426,endereços
Total de endereços rurais,323,endereços
Total de estabelecimentos de ensino,124,estabelecimentos
Total de estabelecimentos de saúde,169,estabelecimentos
Domicílios particulares permanentes,71208,domicílios
Domicílios particulares permanentes - abastecimento de água - Rede geral,69376,domicílios
Domicílios particulares permanentes - energia elétrica - Tinham,71107,domicílios
População residente ,214087,pessoas
População residente - Homens,104242,pessoas
População residente - Mulheres,109845,pessoas
População residente alfabetizada,188802,pessoas
População residente - cor ou raça - Branca,183896,pessoas
População residente - cor ou raça - Preta,10033,pessoas
População residente - cor ou raça - Parda,19303,pessoas
População residente - classes de rendimento nominal mensal - Até 1/4 de salário mínimo ,1858,pessoas
População residente - classes de rendimento nominal mensal - Mais de 30 salários mínimos ,216,pessoas
Área da unidade territorial,102.739,Km²
Eleitorado,143874,Eleitores
PIB per capita a preços correntes,13962.49,Reais
Matrícula - Ensino fundamental - 2009,33559,Matrículas
Matrícula - Ensino médio - 2009,7130,Matrículas
Docentes - Ensino fundamental - 2009,1570,Docentes
Docentes - Ensino médio - 2009,454,Docentes
Estabelecimentos de Saúde SUS,41,estabelecimentos
Nascidos vivos -  registrados - lugar do registro,2837,pessoas
Receitas orçamentárias realizadas - Correntes,33593358898,Reais
Despesas orçamentárias empenhadas - Correntes,29043028488,Reais
Valor do Fundo de Participação dos Municípios  - FPM,3614220766,Reais
Número de unidades locais,8574,Unidades
Pessoal ocupado total,60076,Pessoas
Fonte:IBGE - Instituto Brasileiro de Geografia e Estatística

