SÃ£O LOURENÃ§O DO SUL  código:431880

Descrição,Valor,Unidade
Total de endereços urbanos,11495,endereços
Total de endereços rurais,6374,endereços
Total de estabelecimentos de ensino,82,estabelecimentos
Total de estabelecimentos de saúde,64,estabelecimentos
Domicílios particulares permanentes,13375,domicílios
Domicílios particulares permanentes - abastecimento de água - Rede geral,8229,domicílios
Domicílios particulares permanentes - energia elétrica - Tinham,13234,domicílios
População residente ,43111,pessoas
População residente - Homens,21623,pessoas
População residente - Mulheres,21488,pessoas
População residente alfabetizada,38249,pessoas
População residente - cor ou raça - Branca,38380,pessoas
População residente - cor ou raça - Preta,2874,pessoas
População residente - cor ou raça - Parda,1727,pessoas
População residente - classes de rendimento nominal mensal - Até 1/4 de salário mínimo ,751,pessoas
População residente - classes de rendimento nominal mensal - Mais de 30 salários mínimos ,27,pessoas
Área da unidade territorial,2036.134,Km²
Eleitorado,34320,Eleitores
PIB per capita a preços correntes,11130.16,Reais
Matrícula - Ensino fundamental - 2009,5769,Matrículas
Matrícula - Ensino médio - 2009,1615,Matrículas
Docentes - Ensino fundamental - 2009,365,Docentes
Docentes - Ensino médio - 2009,83,Docentes
Estabelecimentos de Saúde SUS,22,estabelecimentos
Nascidos vivos -  registrados - lugar do registro,489,pessoas
Receitas orçamentárias realizadas - Correntes,5443114185,Reais
Despesas orçamentárias empenhadas - Correntes,4483041883,Reais
Valor do Fundo de Participação dos Municípios  - FPM,1196752673,Reais
Número de unidades locais,1520,Unidades
Pessoal ocupado total,5889,Pessoas
Fonte:IBGE - Instituto Brasileiro de Geografia e Estatística

