SÃ£O LUIZ GONZAGA  código:431890

Descrição,Valor,Unidade
Total de endereços urbanos,13336,endereços
Total de endereços rurais,1638,endereços
Total de estabelecimentos de ensino,48,estabelecimentos
Total de estabelecimentos de saúde,49,estabelecimentos
Domicílios particulares permanentes,11858,domicílios
Domicílios particulares permanentes - abastecimento de água - Rede geral,11026,domicílios
Domicílios particulares permanentes - energia elétrica - Tinham,11794,domicílios
População residente ,34556,pessoas
População residente - Homens,16827,pessoas
População residente - Mulheres,17729,pessoas
População residente alfabetizada,30114,pessoas
População residente - cor ou raça - Branca,27691,pessoas
População residente - cor ou raça - Preta,686,pessoas
População residente - cor ou raça - Parda,5909,pessoas
População residente - classes de rendimento nominal mensal - Até 1/4 de salário mínimo ,902,pessoas
População residente - classes de rendimento nominal mensal - Mais de 30 salários mínimos ,25,pessoas
Área da unidade territorial,1295.683,Km²
Eleitorado,26687,Eleitores
PIB per capita a preços correntes,12970.45,Reais
Matrícula - Ensino fundamental - 2009,5145,Matrículas
Matrícula - Ensino médio - 2009,1591,Matrículas
Docentes - Ensino fundamental - 2009,327,Docentes
Docentes - Ensino médio - 2009,113,Docentes
Estabelecimentos de Saúde SUS,19,estabelecimentos
Nascidos vivos -  registrados - lugar do registro,512,pessoas
Receitas orçamentárias realizadas - Correntes,4172286369,Reais
Despesas orçamentárias empenhadas - Correntes,3396719442,Reais
Valor do Fundo de Participação dos Municípios  - FPM,1063829430,Reais
Número de unidades locais,1230,Unidades
Pessoal ocupado total,5736,Pessoas
Fonte:IBGE - Instituto Brasileiro de Geografia e Estatística

