SÃ£O MARCOS  código:431900

Descrição,Valor,Unidade
Total de endereços urbanos,7446,endereços
Total de endereços rurais,1268,endereços
Total de estabelecimentos de ensino,16,estabelecimentos
Total de estabelecimentos de saúde,19,estabelecimentos
Domicílios particulares permanentes,6701,domicílios
Domicílios particulares permanentes - abastecimento de água - Rede geral,5507,domicílios
Domicílios particulares permanentes - energia elétrica - Tinham,6694,domicílios
População residente ,20103,pessoas
População residente - Homens,9859,pessoas
População residente - Mulheres,10244,pessoas
População residente alfabetizada,18108,pessoas
População residente - cor ou raça - Branca,17765,pessoas
População residente - cor ou raça - Preta,406,pessoas
População residente - cor ou raça - Parda,1825,pessoas
População residente - classes de rendimento nominal mensal - Até 1/4 de salário mínimo ,85,pessoas
População residente - classes de rendimento nominal mensal - Mais de 30 salários mínimos ,16,pessoas
Área da unidade territorial,256.253,Km²
Eleitorado,15257,Eleitores
PIB per capita a preços correntes,13909.49,Reais
Matrícula - Ensino fundamental - 2009,2569,Matrículas
Matrícula - Ensino médio - 2009,804,Matrículas
Docentes - Ensino fundamental - 2009,204,Docentes
Docentes - Ensino médio - 2009,70,Docentes
Estabelecimentos de Saúde SUS,10,estabelecimentos
Nascidos vivos -  registrados - lugar do registro,225,pessoas
Receitas orçamentárias realizadas - Correntes,3169216791,Reais
Despesas orçamentárias empenhadas - Correntes,2476019838,Reais
Valor do Fundo de Participação dos Municípios  - FPM,797835137,Reais
Número de unidades locais,982,Unidades
Pessoal ocupado total,6985,Pessoas
Fonte:IBGE - Instituto Brasileiro de Geografia e Estatística

