SÃ£O MARTINHO DA SERRA  código:431912

Descrição,Valor,Unidade
Total de endereços urbanos,500,endereços
Total de endereços rurais,1122,endereços
Total de estabelecimentos de ensino,3,estabelecimentos
Total de estabelecimentos de saúde,1,estabelecimentos
Domicílios particulares permanentes,1123,domicílios
Domicílios particulares permanentes - abastecimento de água - Rede geral,526,domicílios
Domicílios particulares permanentes - energia elétrica - Tinham,1108,domicílios
População residente ,3201,pessoas
População residente - Homens,1647,pessoas
População residente - Mulheres,1554,pessoas
População residente alfabetizada,2741,pessoas
População residente - cor ou raça - Branca,3050,pessoas
População residente - cor ou raça - Preta,46,pessoas
População residente - cor ou raça - Parda,104,pessoas
População residente - classes de rendimento nominal mensal - Até 1/4 de salário mínimo ,152,pessoas
População residente - classes de rendimento nominal mensal - Mais de 30 salários mínimos ,2,pessoas
Área da unidade territorial,669.550,Km²
Eleitorado,2613,Eleitores
PIB per capita a preços correntes,20956.54,Reais
Matrícula - Ensino fundamental - 2009,465,Matrículas
Matrícula - Ensino médio - 2009,93,Matrículas
Docentes - Ensino fundamental - 2009,31,Docentes
Docentes - Ensino médio - 2009,17,Docentes
Estabelecimentos de Saúde SUS,1,estabelecimentos
Nascidos vivos -  registrados - lugar do registro,19,pessoas
Receitas orçamentárias realizadas - Correntes,778590752,Reais
Despesas orçamentárias empenhadas - Correntes,662499853,Reais
Valor do Fundo de Participação dos Municípios  - FPM,398930365,Reais
Número de unidades locais,57,Unidades
Pessoal ocupado total,214,Pessoas
Fonte:IBGE - Instituto Brasileiro de Geografia e Estatística

