SÃ£O MARTINHO  código:431910

Descrição,Valor,Unidade
Total de endereços urbanos,1671,endereços
Total de endereços rurais,1013,endereços
Total de estabelecimentos de ensino,16,estabelecimentos
Total de estabelecimentos de saúde,10,estabelecimentos
Domicílios particulares permanentes,2059,domicílios
Domicílios particulares permanentes - abastecimento de água - Rede geral,1735,domicílios
Domicílios particulares permanentes - energia elétrica - Tinham,2052,domicílios
População residente ,5773,pessoas
População residente - Homens,2838,pessoas
População residente - Mulheres,2935,pessoas
População residente alfabetizada,5149,pessoas
População residente - cor ou raça - Branca,5075,pessoas
População residente - cor ou raça - Preta,125,pessoas
População residente - cor ou raça - Parda,476,pessoas
População residente - classes de rendimento nominal mensal - Até 1/4 de salário mínimo ,214,pessoas
População residente - classes de rendimento nominal mensal - Mais de 30 salários mínimos ,12,pessoas
Área da unidade territorial,171.662,Km²
Eleitorado,4920,Eleitores
PIB per capita a preços correntes,13687.28,Reais
Matrícula - Ensino fundamental - 2009,724,Matrículas
Matrícula - Ensino médio - 2009,234,Matrículas
Docentes - Ensino fundamental - 2009,65,Docentes
Docentes - Ensino médio - 2009,29,Docentes
Estabelecimentos de Saúde SUS,3,estabelecimentos
Nascidos vivos -  registrados - lugar do registro,55,pessoas
Receitas orçamentárias realizadas - Correntes,1077994278,Reais
Despesas orçamentárias empenhadas - Correntes,869532610,Reais
Valor do Fundo de Participação dos Municípios  - FPM,398917557,Reais
Número de unidades locais,261,Unidades
Pessoal ocupado total,994,Pessoas
Fonte:IBGE - Instituto Brasileiro de Geografia e Estatística

