SÃ£O MIGUEL DAS MISSÃµES  código:431915

Descrição,Valor,Unidade
Total de endereços urbanos,1821,endereços
Total de endereços rurais,1598,endereços
Total de estabelecimentos de ensino,10,estabelecimentos
Total de estabelecimentos de saúde,16,estabelecimentos
Domicílios particulares permanentes,2520,domicílios
Domicílios particulares permanentes - abastecimento de água - Rede geral,1647,domicílios
Domicílios particulares permanentes - energia elétrica - Tinham,2494,domicílios
População residente ,7421,pessoas
População residente - Homens,3880,pessoas
População residente - Mulheres,3541,pessoas
População residente alfabetizada,6218,pessoas
População residente - cor ou raça - Branca,5491,pessoas
População residente - cor ou raça - Preta,121,pessoas
População residente - cor ou raça - Parda,1628,pessoas
População residente - classes de rendimento nominal mensal - Até 1/4 de salário mínimo ,360,pessoas
População residente - classes de rendimento nominal mensal - Mais de 30 salários mínimos ,10,pessoas
Área da unidade territorial,1229.848,Km²
Eleitorado,5716,Eleitores
PIB per capita a preços correntes,21549.43,Reais
Matrícula - Ensino fundamental - 2009,1200,Matrículas
Matrícula - Ensino médio - 2009,284,Matrículas
Docentes - Ensino fundamental - 2009,78,Docentes
Docentes - Ensino médio - 2009,15,Docentes
Estabelecimentos de Saúde SUS,8,estabelecimentos
Nascidos vivos -  registrados - lugar do registro,102,pessoas
Receitas orçamentárias realizadas - Correntes,1521066201,Reais
Despesas orçamentárias empenhadas - Correntes,1153998798,Reais
Valor do Fundo de Participação dos Municípios  - FPM,398936068,Reais
Número de unidades locais,245,Unidades
Pessoal ocupado total,753,Pessoas
Fonte:IBGE - Instituto Brasileiro de Geografia e Estatística

