SÃ£O NICOLAU  código:431920

Descrição,Valor,Unidade
Total de endereços urbanos,1841,endereços
Total de endereços rurais,994,endereços
Total de estabelecimentos de ensino,14,estabelecimentos
Total de estabelecimentos de saúde,8,estabelecimentos
Domicílios particulares permanentes,2006,domicílios
Domicílios particulares permanentes - abastecimento de água - Rede geral,1879,domicílios
Domicílios particulares permanentes - energia elétrica - Tinham,1989,domicílios
População residente ,5727,pessoas
População residente - Homens,2906,pessoas
População residente - Mulheres,2821,pessoas
População residente alfabetizada,4711,pessoas
População residente - cor ou raça - Branca,4180,pessoas
População residente - cor ou raça - Preta,78,pessoas
População residente - cor ou raça - Parda,1430,pessoas
População residente - classes de rendimento nominal mensal - Até 1/4 de salário mínimo ,421,pessoas
População residente - classes de rendimento nominal mensal - Mais de 30 salários mínimos ,-,pessoas
Área da unidade territorial,485.326,Km²
Eleitorado,4506,Eleitores
PIB per capita a preços correntes,9414.29,Reais
Matrícula - Ensino fundamental - 2009,981,Matrículas
Matrícula - Ensino médio - 2009,195,Matrículas
Docentes - Ensino fundamental - 2009,70,Docentes
Docentes - Ensino médio - 2009,26,Docentes
Estabelecimentos de Saúde SUS,8,estabelecimentos
Nascidos vivos -  registrados - lugar do registro,67,pessoas
Receitas orçamentárias realizadas - Correntes,1039544257,Reais
Despesas orçamentárias empenhadas - Correntes,846640788,Reais
Valor do Fundo de Participação dos Municípios  - FPM,399163587,Reais
Número de unidades locais,136,Unidades
Pessoal ocupado total,486,Pessoas
Fonte:IBGE - Instituto Brasileiro de Geografia e Estatística

