SÃ£O PAULO DAS MISSÃµES  código:431930

Descrição,Valor,Unidade
Total de endereços urbanos,1017,endereços
Total de endereços rurais,1612,endereços
Total de estabelecimentos de ensino,11,estabelecimentos
Total de estabelecimentos de saúde,8,estabelecimentos
Domicílios particulares permanentes,2043,domicílios
Domicílios particulares permanentes - abastecimento de água - Rede geral,1943,domicílios
Domicílios particulares permanentes - energia elétrica - Tinham,2032,domicílios
População residente ,6364,pessoas
População residente - Homens,3228,pessoas
População residente - Mulheres,3136,pessoas
População residente alfabetizada,5653,pessoas
População residente - cor ou raça - Branca,5314,pessoas
População residente - cor ou raça - Preta,187,pessoas
População residente - cor ou raça - Parda,839,pessoas
População residente - classes de rendimento nominal mensal - Até 1/4 de salário mínimo ,439,pessoas
População residente - classes de rendimento nominal mensal - Mais de 30 salários mínimos ,2,pessoas
Área da unidade territorial,223.887,Km²
Eleitorado,5104,Eleitores
PIB per capita a preços correntes,10976.54,Reais
Matrícula - Ensino fundamental - 2009,846,Matrículas
Matrícula - Ensino médio - 2009,270,Matrículas
Docentes - Ensino fundamental - 2009,58,Docentes
Docentes - Ensino médio - 2009,20,Docentes
Estabelecimentos de Saúde SUS,6,estabelecimentos
Nascidos vivos -  registrados - lugar do registro,60,pessoas
Receitas orçamentárias realizadas - Correntes,1085335832,Reais
Despesas orçamentárias empenhadas - Correntes,933880319,Reais
Valor do Fundo de Participação dos Municípios  - FPM,398917557,Reais
Número de unidades locais,177,Unidades
Pessoal ocupado total,694,Pessoas
Fonte:IBGE - Instituto Brasileiro de Geografia e Estatística

