SÃ£O PEDRO DAS MISSÃµES  código:431936

Descrição,Valor,Unidade
Total de endereços urbanos,270,endereços
Total de endereços rurais,532,endereços
Total de estabelecimentos de ensino,4,estabelecimentos
Total de estabelecimentos de saúde,3,estabelecimentos
Domicílios particulares permanentes,611,domicílios
Domicílios particulares permanentes - abastecimento de água - Rede geral,457,domicílios
Domicílios particulares permanentes - energia elétrica - Tinham,607,domicílios
População residente ,1886,pessoas
População residente - Homens,932,pessoas
População residente - Mulheres,954,pessoas
População residente alfabetizada,1523,pessoas
População residente - cor ou raça - Branca,1346,pessoas
População residente - cor ou raça - Preta,60,pessoas
População residente - cor ou raça - Parda,469,pessoas
População residente - classes de rendimento nominal mensal - Até 1/4 de salário mínimo ,117,pessoas
População residente - classes de rendimento nominal mensal - Mais de 30 salários mínimos ,-,pessoas
Área da unidade territorial,79.965,Km²
Eleitorado,1424,Eleitores
PIB per capita a preços correntes,11956.47,Reais
Matrícula - Ensino fundamental - 2009,367,Matrículas
Matrícula - Ensino médio - 2009,95,Matrículas
Docentes - Ensino fundamental - 2009,41,Docentes
Docentes - Ensino médio - 2009,14,Docentes
Estabelecimentos de Saúde SUS,3,estabelecimentos
Nascidos vivos -  registrados - lugar do registro,-,pessoas
Receitas orçamentárias realizadas - Correntes,626026954,Reais
Despesas orçamentárias empenhadas - Correntes,523009786,Reais
Valor do Fundo de Participação dos Municípios  - FPM,398917557,Reais
Número de unidades locais,29,Unidades
Pessoal ocupado total,230,Pessoas
Fonte:IBGE - Instituto Brasileiro de Geografia e Estatística

