SÃ£O PEDRO DO BUTIÃ¡  código:431937

Descrição,Valor,Unidade
Total de endereços urbanos,588,endereços
Total de endereços rurais,644,endereços
Total de estabelecimentos de ensino,2,estabelecimentos
Total de estabelecimentos de saúde,2,estabelecimentos
Domicílios particulares permanentes,946,domicílios
Domicílios particulares permanentes - abastecimento de água - Rede geral,899,domicílios
Domicílios particulares permanentes - energia elétrica - Tinham,944,domicílios
População residente ,2873,pessoas
População residente - Homens,1456,pessoas
População residente - Mulheres,1417,pessoas
População residente alfabetizada,2653,pessoas
População residente - cor ou raça - Branca,2591,pessoas
População residente - cor ou raça - Preta,69,pessoas
População residente - cor ou raça - Parda,210,pessoas
População residente - classes de rendimento nominal mensal - Até 1/4 de salário mínimo ,96,pessoas
População residente - classes de rendimento nominal mensal - Mais de 30 salários mínimos ,11,pessoas
Área da unidade territorial,107.631,Km²
Eleitorado,2260,Eleitores
PIB per capita a preços correntes,20813.12,Reais
Matrícula - Ensino fundamental - 2009,343,Matrículas
Matrícula - Ensino médio - 2009,128,Matrículas
Docentes - Ensino fundamental - 2009,31,Docentes
Docentes - Ensino médio - 2009,14,Docentes
Estabelecimentos de Saúde SUS,1,estabelecimentos
Nascidos vivos -  registrados - lugar do registro,19,pessoas
Receitas orçamentárias realizadas - Correntes,940351059,Reais
Despesas orçamentárias empenhadas - Correntes,710043563,Reais
Valor do Fundo de Participação dos Municípios  - FPM,400145293,Reais
Número de unidades locais,169,Unidades
Pessoal ocupado total,653,Pessoas
Fonte:IBGE - Instituto Brasileiro de Geografia e Estatística

