SÃ£O VALENTIM  código:431970

Descrição,Valor,Unidade
Total de endereços urbanos,835,endereços
Total de endereços rurais,724,endereços
Total de estabelecimentos de ensino,3,estabelecimentos
Total de estabelecimentos de saúde,4,estabelecimentos
Domicílios particulares permanentes,1200,domicílios
Domicílios particulares permanentes - abastecimento de água - Rede geral,633,domicílios
Domicílios particulares permanentes - energia elétrica - Tinham,1192,domicílios
População residente ,3632,pessoas
População residente - Homens,1811,pessoas
População residente - Mulheres,1821,pessoas
População residente alfabetizada,3172,pessoas
População residente - cor ou raça - Branca,3101,pessoas
População residente - cor ou raça - Preta,102,pessoas
População residente - cor ou raça - Parda,420,pessoas
População residente - classes de rendimento nominal mensal - Até 1/4 de salário mínimo ,165,pessoas
População residente - classes de rendimento nominal mensal - Mais de 30 salários mínimos ,7,pessoas
Área da unidade territorial,154.189,Km²
Eleitorado,3214,Eleitores
PIB per capita a preços correntes,12923.00,Reais
Matrícula - Ensino fundamental - 2009,531,Matrículas
Matrícula - Ensino médio - 2009,166,Matrículas
Docentes - Ensino fundamental - 2009,52,Docentes
Docentes - Ensino médio - 2009,15,Docentes
Estabelecimentos de Saúde SUS,1,estabelecimentos
Nascidos vivos -  registrados - lugar do registro,85,pessoas
Receitas orçamentárias realizadas - Correntes,842124846,Reais
Despesas orçamentárias empenhadas - Correntes,673701827,Reais
Valor do Fundo de Participação dos Municípios  - FPM,398917557,Reais
Número de unidades locais,143,Unidades
Pessoal ocupado total,558,Pessoas
Fonte:IBGE - Instituto Brasileiro de Geografia e Estatística

