SÃ£O VALÃ©RIO DO SUL  código:431973

Descrição,Valor,Unidade
Total de endereços urbanos,259,endereços
Total de endereços rurais,673,endereços
Total de estabelecimentos de ensino,5,estabelecimentos
Total de estabelecimentos de saúde,4,estabelecimentos
Domicílios particulares permanentes,735,domicílios
Domicílios particulares permanentes - abastecimento de água - Rede geral,704,domicílios
Domicílios particulares permanentes - energia elétrica - Tinham,719,domicílios
População residente ,2647,pessoas
População residente - Homens,1375,pessoas
População residente - Mulheres,1272,pessoas
População residente alfabetizada,2044,pessoas
População residente - cor ou raça - Branca,1408,pessoas
População residente - cor ou raça - Preta,48,pessoas
População residente - cor ou raça - Parda,139,pessoas
População residente - classes de rendimento nominal mensal - Até 1/4 de salário mínimo ,123,pessoas
População residente - classes de rendimento nominal mensal - Mais de 30 salários mínimos ,7,pessoas
Área da unidade territorial,107.971,Km²
Eleitorado,1967,Eleitores
PIB per capita a preços correntes,9213.91,Reais
Matrícula - Ensino fundamental - 2009,456,Matrículas
Matrícula - Ensino médio - 2009,63,Matrículas
Docentes - Ensino fundamental - 2009,37,Docentes
Docentes - Ensino médio - 2009,11,Docentes
Estabelecimentos de Saúde SUS,3,estabelecimentos
Nascidos vivos -  registrados - lugar do registro,-,pessoas
Receitas orçamentárias realizadas - Correntes,689953288,Reais
Despesas orçamentárias empenhadas - Correntes,517781995,Reais
Valor do Fundo de Participação dos Municípios  - FPM,398917557,Reais
Número de unidades locais,34,Unidades
Pessoal ocupado total,260,Pessoas
Fonte:IBGE - Instituto Brasileiro de Geografia e Estatística

